Party and Electorate Candidate Votes Recorded at each polling place
"Te Tai Tokerau 67","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Awarua, Kaikohe","Te Hurihi Marae, Mangakahia Rd",0,0,0,1,0,0,1,0,0,0,13,0,13,0,0,3,0,0,0,31,0
"Baylys Beach","Presbyterian Church Hall, Seaview Rd",0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,10,0
"Broadwood","Broadwood Area School, Main Rd",0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,15,0
"Dargaville","Dargaville Primary School, Portland St",0,2,0,2,0,1,2,0,2,1,57,0,22,5,0,11,0,0,0,105,2
,"Selwyn Park School, Onslow St",1,0,0,1,0,0,0,0,0,0,56,0,22,1,0,16,0,0,0,97,2
,"St Andrew's Church Hall, Normanby St",0,0,0,0,0,0,2,0,2,1,53,0,24,7,0,11,0,0,1,101,4
"Fairburn","Fairburn Hall, Main Fairburn-Peria Rd",0,0,0,1,0,0,1,0,0,0,7,0,7,0,0,0,0,0,0,16,0
"Herekino","Herekino School, Kaitaia-Awaroa Rd",1,0,0,0,0,0,0,0,0,0,32,0,28,0,0,8,0,0,0,69,2
"Horeke","Horeke School, Horeke Rd",1,0,0,0,0,0,0,0,1,0,37,0,34,0,0,3,0,0,0,76,4
"Hukerenui","Hukerenui School, Crowsnest Rd",1,0,0,0,0,0,0,0,1,0,10,0,11,2,0,2,0,0,1,28,0
"Kaeo","Kaeo Primary School, SH 10",1,0,0,1,0,0,0,0,1,1,83,0,57,4,0,13,0,0,1,162,6
"Kaihu","Kaihu Memorial Hall, Wood Rd",0,0,0,0,0,1,3,0,1,0,32,0,21,0,0,7,0,0,0,65,2
"Kaikohe","Kaikohe East School, 36 Mangakahia Rd",0,2,0,3,0,0,11,0,9,0,201,0,150,6,0,34,0,0,0,416,5
,"Kaikohe Intermediate School, 11 Park Rd",2,0,0,3,0,0,3,0,7,0,155,0,117,8,1,26,0,0,0,322,3
,"Te Iringa Marae, Waimatenui Rd, Te Iringa",0,0,0,0,0,0,0,0,2,0,20,0,16,0,0,0,0,0,0,38,1
"Kaingaroa","Kaingaroa School, SH 10",0,1,0,0,0,0,0,0,1,0,7,0,2,1,0,0,0,0,0,12,0
"Kaitaia","Kaitaia College, Redan Rd",1,0,0,3,0,0,14,0,4,1,78,0,108,1,0,14,0,0,0,224,2
,"Kaitaia Intermediate School, 45 North Rd",1,0,0,5,0,0,42,0,9,2,234,0,245,9,0,29,0,0,0,576,5
"Kaiwaka","Kaiwaka School, Mangawhai Rd",0,0,0,1,1,0,1,0,4,0,42,0,10,1,0,4,0,0,1,65,0
"Kawakawa","Karetu School, Kura Road, ",0,0,0,0,0,0,1,0,0,0,22,0,14,0,0,2,0,0,0,39,0
,"Kawakawa School, 31-39 Albert St",0,0,0,2,1,0,6,0,6,1,120,0,75,3,0,20,0,0,1,235,2
"Kerikeri","Kerikeri Primary School, Hone Heke Rd",0,0,0,6,0,0,2,0,4,2,64,0,30,8,0,12,0,0,0,128,2
,"Riverview School, Riverview Rd",0,0,0,1,1,0,0,0,0,0,13,0,8,6,0,2,0,0,0,31,0
"Kohukohu","Kohukohu School: Beach Rd",1,0,0,1,0,0,0,0,4,0,28,0,28,1,0,0,0,0,0,63,2
"Mangamuka ","Mangamuka School, School Rd",0,0,0,0,0,0,0,0,1,0,22,0,25,1,0,6,0,0,0,55,1
"Mangawhai","Mangawhai Hall, Mangawhai Rd",0,0,0,0,0,0,0,0,3,0,10,0,2,8,0,6,0,0,0,29,0
"Mangonui","Mangonui School, Colonel Mould Drive",0,0,0,1,0,0,0,0,2,1,49,0,41,9,1,9,0,0,0,113,4
"Maromaku","Maromaku School, Maromaku School Rd",0,0,0,1,0,0,0,0,0,1,19,0,16,4,0,10,0,0,0,51,2
"Matauri Bay","Matauri Bay School, Wainui Rd ",0,0,0,1,0,0,1,0,3,1,47,0,29,1,0,2,0,0,0,85,1
"Matawaia","Kohanga Reo, Matawaia Rd",0,0,0,0,0,0,1,0,1,0,15,0,25,1,0,5,0,0,0,48,0
"Maungaturoto","Maungaturoto Community Centre, View St",0,1,0,0,0,0,1,0,1,0,38,0,8,3,0,6,0,0,0,58,0
"Moerewa","Te Kura Kaupapa Maori O Taumarere, 1 Station Rd",4,0,1,2,1,0,8,0,4,0,190,0,130,8,0,21,0,0,1,370,4
"Ngaiotonga","Ngaiotonga School, Rawhiti Rd",0,0,0,0,0,0,0,0,0,0,32,0,9,1,0,5,0,0,0,47,1
"Ngataki","Ngataki School, Ngataki, SH 1",0,0,0,0,0,0,0,0,0,0,31,0,26,0,0,1,0,0,0,58,0
"Oakura","Oakura Hall, Oakura Rd",0,0,0,1,0,0,0,0,1,0,42,0,13,4,0,9,1,0,1,72,0
"Ohaeawai","Ohaeawai School, Tennyson St",0,0,0,1,0,0,1,0,3,2,32,0,46,2,0,6,0,0,0,93,0
"Okaihau","Okaihau Primary School, Settlers Way",0,0,0,0,0,0,0,0,2,0,42,0,39,4,0,8,0,0,0,95,2
"Omapere","Opononi Area School, 263 SH12",0,1,0,1,1,0,1,0,4,0,68,0,43,3,0,9,0,0,0,131,2
"Opua","Opua School, Franklin St",0,0,0,0,0,0,0,0,2,0,6,0,3,2,0,1,0,0,0,14,0
"Opuawhanga","Opuawhanga Hall, North Rd",0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,2,0,0,0,7,0
"Oromahoe ","Oromahoe School, School Rd",0,0,0,0,0,0,0,0,0,0,12,0,13,1,0,2,0,0,0,28,1
"Paihia","Paihia School, School Rd",0,0,0,0,0,0,0,0,3,0,70,0,39,12,0,16,0,1,0,141,3
"Pakaraka","Pakaraka School, SH10 ",0,0,0,0,1,0,2,0,0,0,11,0,4,1,0,5,0,0,2,26,2
"Pakotai","Pakotai School, Ruddell Rd/Mangakahia Rd",0,0,0,0,0,0,0,0,0,0,16,0,10,0,0,8,0,0,0,34,0
"Pamapuria","Pamapuria School, SH 10",0,0,0,1,0,0,4,0,1,0,34,0,25,3,0,2,0,0,0,70,3
"Panguru","Panguru Resource Centre, Panguru Rd",0,0,0,0,0,0,2,0,3,0,64,0,62,0,0,3,2,0,0,136,1
"Paparoa","Paparoa School, SH12",0,0,0,0,0,0,0,0,4,0,9,0,5,1,0,3,0,0,1,23,0
"Pawarenga","Te Kura O Hata Maria",0,0,0,0,0,0,0,0,0,0,22,0,29,0,0,1,0,0,0,52,0
"Peria","Peria School, 1430 Oruru Rd",0,0,0,0,0,0,1,0,0,0,9,0,27,3,0,3,0,0,0,43,0
"Pipiwai","Te Horo School, Pipiwai Rd",0,0,0,0,0,0,1,0,0,0,21,0,26,1,0,3,0,0,0,52,0
"Pouto","Rangitane Hall, Pouto Rd, ",0,1,0,0,0,0,0,0,0,0,17,0,6,0,0,2,0,0,0,26,0
"Pukenui","Pukenui School, Lambs Rd",0,0,0,1,0,0,0,0,1,0,21,0,12,7,0,8,0,0,0,50,0
"Pukepoto","Pukepoto School, Pukepoto- Awaroa Rd",0,0,0,0,0,0,3,0,1,1,30,0,26,1,0,4,0,0,0,66,0
"Rawene","Rawene School, Marmon St",1,1,0,1,0,0,1,0,4,1,54,0,39,1,0,2,0,0,0,105,1
"Rawhiti","Kohanga Reo, Te Rawhiti Marae, Rawhiti Rd",0,0,0,0,0,0,0,0,0,0,18,0,13,0,0,0,0,0,0,31,0
"Ruawai","Ruawai Primary School, Main Rd",0,1,0,2,0,0,1,0,1,0,34,0,6,1,0,3,0,0,1,50,2
"Russell","Russell School, Baker St",0,0,0,0,0,0,1,0,1,0,25,0,20,3,0,10,0,0,0,60,0
"Taheke","Taheke Community Centre, SH 12 ",0,0,0,1,0,0,0,0,1,0,49,0,64,0,0,8,0,0,0,123,0
"Taipa","Taipa Area School, SH 10",0,1,0,4,1,0,2,0,3,0,42,0,40,3,0,9,0,0,0,105,3
"Takahue","Takahue Community Hall",0,0,0,0,0,0,0,0,0,0,4,0,11,1,0,2,0,0,0,18,0
"Tangiteroria","Tangiteroria School, SH14 ",0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,1,0,0,0,10,0
"Tangowahine","Tangowahine School, Tangawahine Valley Rd",0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,6,0
"Taupo Bay","Taupo Bay Holiday Park, Taupo Bay Rd",0,0,0,0,0,0,0,0,1,0,1,0,4,1,0,1,0,0,0,8,0
"Tautoro","Tautoro School, Mangakahia Rd",0,0,0,1,0,0,1,0,0,0,22,0,24,0,0,5,0,0,0,53,1
"Te Hapua","Te Hapua School, Waharua Rd",1,0,0,0,0,0,0,0,1,0,21,0,30,1,0,2,0,0,0,56,0
"Te Kao","Te Kao Area School, Far North Rd",0,0,0,0,0,0,0,0,2,0,32,0,71,1,0,6,0,0,0,112,2
"Te Kopuru","Te Kopuru School, Te Kopuru",0,1,0,0,0,0,0,0,0,0,18,1,18,4,0,5,0,0,0,47,1
"Te Tii","Te Tii School, Te Tii - Purerua Rd, ",1,1,0,0,0,0,0,0,0,0,21,0,19,1,0,2,0,0,0,45,2
"Tinopai","Tinopai School, Tinopai Rd",0,0,0,0,0,0,1,0,3,0,18,0,5,3,4,0,0,0,0,34,0
"Titoki","Mangakahia Area School, Mangakahia Rd",0,0,0,0,0,0,0,0,0,0,20,0,9,1,0,2,0,0,0,32,2
"Tokerau Beach","Kura Kaupapa Rangiawhia School, Inland Rd",1,0,0,0,0,0,1,0,1,0,34,0,47,0,0,6,0,0,0,90,3
"Totara North","Totara North School, School Rd ",0,0,0,0,0,0,0,0,1,0,4,0,2,3,0,7,0,0,0,17,0
"Umawera","Umawera School, SH 1",0,0,0,0,0,0,0,0,0,0,7,0,12,1,0,3,0,0,0,23,0
"Victoria Valley, Kaitaia","War Memorial Hall, Victoria Valley Rd",0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,12,0
"Waiharara","Waiharara School, Katavich Rd",0,0,0,0,0,0,2,0,0,0,9,0,7,2,0,3,0,0,0,23,1
"Waikare","Te Kura o Waikare, School Road, Waikare",0,0,0,0,0,0,2,0,0,0,28,0,5,0,0,3,0,0,0,38,1
"Waima","Waima School, SH12",0,0,0,0,0,0,0,0,0,0,35,0,29,1,0,2,0,0,0,67,2
"Waimamaku","Waimamaku Community Trust, SH 12",1,0,0,0,0,0,0,0,1,0,26,0,18,4,0,4,0,0,0,54,1
"Waimate North ","Christian School, 421 Te Ahu Ahu Rd",0,0,0,0,0,0,0,0,5,0,13,0,9,3,0,1,0,0,0,31,1
"Waipapa","Waipapa Hall, Waipapa Loop Rd",0,1,0,2,0,0,0,0,0,1,20,0,8,3,0,7,0,0,0,42,1
"Waipapakauri","Paparore School, 157 West Coast Rd",0,0,0,0,0,0,1,0,1,0,12,0,10,0,0,1,0,0,0,25,0
"Whakapara","Whakapara Hall, Whakapara Rd",0,0,0,0,0,0,0,0,2,0,9,0,17,1,0,2,0,0,0,31,1
"Whananaki","Whananaki School, North Rd",0,0,0,1,0,0,0,0,0,0,8,0,12,1,0,5,0,0,0,27,1
"Whangaroa","Whangaroa Hall, 574 Whangaroa Rd",0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,2,0,0,0,12,1
"Whirinaki","Pa Te Aroha Marae, SH12",1,0,0,0,0,0,1,0,2,0,38,0,13,2,0,2,0,0,0,59,1
,Rodney
"Dairy Flat","Dairy Flat School, 1220 State Highway 1",0,0,0,0,0,0,0,0,1,0,8,0,1,4,0,5,0,0,0,19,0
"East Coast Bays","East Coast Bays Bible Baptist Church, 1092 East Coast Bays Rd",0,0,0,1,0,0,0,0,1,0,1,0,1,4,0,1,0,0,0,9,0
"Gulf Harbour","Gulf Harbour School, 65 Alec Craig Way",0,0,0,0,0,0,0,0,1,0,6,0,3,4,0,3,0,0,0,17,1
"Leigh","Leigh School, 26 Hauraki Road",0,0,0,0,0,0,0,0,2,1,14,0,6,3,0,5,0,0,0,31,0
"Manly","Manly Methodist Church, 945 Whangaparaoa Road (cnr Walbrook Rd)",0,0,0,0,0,0,0,0,0,0,13,0,0,4,0,6,0,0,0,23,0
,"Whangaparaoa School, 39 Ladies Mile",0,0,0,0,0,0,0,0,1,0,18,0,5,5,0,3,0,0,1,33,0
"Matakana","Matakana School, 952 Matakana Road",0,0,0,0,0,0,0,0,1,0,2,0,1,5,0,1,0,0,0,10,0
"Orewa","Orewa College, Riverside Road",0,0,0,1,0,0,0,0,0,0,7,0,3,8,0,2,0,0,0,21,0
,"Orewa Community Centre, Hillary Square",0,0,0,0,0,0,1,0,0,1,34,0,7,5,0,7,0,0,0,55,0
