Party and Electorate Candidate Votes Recorded at each polling place
"Rangitikei 42","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Turakina","Turakina School, Main Road",11,0,1,0,0,7,0,0,63,0,0,110,16,0,0,0,0,0,0,208,0
"Turitea","Tiritea School, 208 Old West Road",9,0,0,0,0,37,1,1,32,0,1,118,9,0,0,0,0,1,0,209,0
"Tutaenui","Tutaenui Public Hall, corner Griffins Road and Jeffersons Line",8,1,0,0,0,6,1,0,25,0,1,111,4,0,0,0,0,0,0,157,1
"Waiouru","Waiouru Community Centre, Queree Drive",22,0,0,0,0,12,1,0,92,0,6,116,7,0,0,2,0,0,0,258,0
"Waituna West","Waituna West School, 50 Waituna-Tapuae Road",12,0,0,0,0,3,1,1,14,0,0,106,3,0,0,0,0,4,0,144,1
"Whakapapa Village","Whakapapa Village Firestation, Bruce Road",0,0,0,0,0,8,0,0,13,0,0,7,2,0,0,0,0,1,0,31,0
"Whakarongo","Whakarongo Community Hall, 17 Stoney Creek Road",29,0,2,0,2,13,2,1,87,0,1,227,13,0,0,3,0,6,0,386,1
"Whangaehu","Whangaehu School, Ruatangata Street",2,0,0,0,1,3,0,0,11,0,1,37,3,0,0,0,0,2,0,60,0
,"Polling places where less than 6 votes were taken",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,"Hospital Votes",3,0,0,1,3,2,2,0,89,1,1,128,22,2,0,0,0,2,1,257,3
,"Ordinary Votes BEFORE polling day",144,4,10,0,9,175,14,15,836,2,28,1737,153,0,1,11,0,35,2,3176,10
,"Special Votes BEFORE polling day",10,0,1,0,1,26,1,0,122,0,6,199,27,0,0,4,0,3,1,401,3
,"Special Votes On polling day",69,3,21,0,9,169,13,12,538,2,19,1079,72,4,0,52,0,21,5,2088,4
,"Overseas Special Votes including defence force",18,0,1,0,0,31,0,1,82,1,3,221,4,0,0,2,0,2,0,366,0
,"Votes Allowed for Party Only",3,1,10,0,3,22,0,1,127,0,27,133,25,0,0,7,0,1,1,361,2
,"Rangitikei Total",1448,33,135,18,80,1836,309,132,9298,22,307,17711,1719,17,2,291,2,388,20,33768,138
,,,,,,,,,,,,,,,,,,,,"Valid Party Votes plus Informal Party Votes",33906
"Electorate Party Valid Votes for Rangitikei",,"National Party - .524490642"
"ACT New Zealand",1448,.0428808339
"Alliance",33,.0009772566
"Aotearoa Legalise Cannabis Party",135,.0039978678
"Democrats for Social Credit",18,.000533049
"Family Party",80,.0023691068
"Green Party",1836,.0543710021
"Jim Anderton's Progressive",309,.0091506752
"Kiwi Party",132,.0039090263
"Labour Party",9298,.2753494433
"Libertarianz",22,.0006515044
"Maori Party",307,.0090914475
"National Party",17711,.524490642
"New Zealand First Party",1719,.0509061834
"New Zealand Pacific Party",17,.0005034352
"RAM - Residents Action Movement",2,.0000592277
"The Bill and Ben Party",291,.0086176262
"The Republic of New Zealand Party",2,.0000592277
"United Future",388,.0114901682
"Workers Party",20,.0005922767
