Party and Electorate Candidate Votes Recorded at each polling place
"Tāmaki Makaurau 66","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
,Auckland Central
"New Lynn","Arahoe School, 11 Arahoe Road",0,0,0,0,0,8,16,0,5,10,5,6,0,50,1
,"Dayspring Trust Hall, 2 Seabrook Avenue",0,0,1,0,0,5,16,0,1,2,3,8,0,36,0
,"Fruitvale School, 9 Croydon Road",0,0,1,0,0,10,18,0,5,15,13,3,0,65,0
,"New Lynn Friendship Club Hall, 3063 Great North Road",0,0,0,1,0,1,7,0,0,0,0,0,0,9,0
,"New Lynn Salvation Army Hall, 32 Delta Avenue",1,0,1,2,0,4,25,0,4,14,7,7,0,65,1
,"New Lynn Sea Scout Hall, 37 Margan Avenue",0,0,0,0,0,3,13,0,2,5,1,1,0,25,0
,"Pule La'a Methodist Church Hall, 39-43 Margan Avenue",0,0,0,0,0,1,5,0,2,5,2,0,0,15,2
"Titirangi","Glen Eden Intermediate School, 23 Kaurilands Road",0,0,0,0,0,3,5,0,2,2,3,3,0,18,0
,"Kaurilands School, 109 Atkinson Road",0,0,0,0,0,4,9,0,7,1,9,2,0,32,0
,"St Francis Anglican Parish, corner Park & Titirangi Beach Roads",0,0,0,0,0,6,4,0,4,2,3,0,0,19,0
,"Titirangi War Memorial Hall, 500 South Titirangi Road",0,0,0,0,0,4,9,0,0,1,5,3,0,22,0
,"Woodlands Park School, 202 Woodlands Park Road",0,0,2,0,0,6,8,0,0,1,8,1,0,26,0
,Pakuranga
"Bucklands Beach","Bucklands Beach Intermediate School, 247 Bucklands Beach Road",0,0,0,0,0,1,1,0,0,1,1,3,0,7,0
,"Bucklands Beach Primary School, 107 Clovelly Road",0,0,0,0,0,0,0,0,1,1,3,2,0,7,0
,"Macleans College, 2 Macleans Road",0,0,1,0,0,1,3,0,0,1,6,2,0,14,0
,"Macleans Primary School, 10 Wycherley Drive",0,0,0,0,0,1,2,0,0,0,2,4,0,9,0
,"Pakuranga Health Camp School, 1-9 Pigeon Mountain Road",0,0,0,0,0,0,0,0,1,1,7,0,0,9,0
"Howick","Howick Intermediate School, 1 Botany Road",0,0,0,1,0,3,6,0,1,2,5,4,0,22,1
,"Owairoa  Primary School, corner Wellington & Nelson Streets",0,0,0,0,0,6,8,0,2,8,4,5,0,33,0
,"The Salvation Army East City, 37-45 Wellington Street",0,0,0,0,0,1,2,0,0,2,2,1,0,8,0
"Mellons Bay","Mellons Bay Primary School, 140 Mellons Bay Road",0,0,0,0,0,0,1,0,0,2,3,1,0,7,0
"Pakuranga","Anchorage Park Primary School, 16 Swan Crescent",0,0,0,0,0,2,19,0,2,4,4,8,0,39,0
,"Eastgate Christian Centre, 5 Ben Lomond Crescent",0,0,0,0,0,2,7,0,1,2,4,7,0,23,0
,"Edgewater College, 32 Edgewater Drive",0,0,1,0,0,2,16,0,0,4,12,11,0,46,0
,"Elm Park School, 46 Gossamer Drive",0,0,0,0,0,1,15,0,5,6,8,5,0,40,0
,"Farm Cove Intermediate School, 14-16 Butley Drive",0,0,0,0,0,4,9,0,0,2,6,5,0,26,0
,"Pakuranga College, 480 Pakuranga Road",0,0,0,1,0,1,4,0,4,2,4,9,0,25,0
,"Pakuranga Heights Primary School, 77 Udys Road",0,0,0,0,0,3,5,0,2,9,6,1,0,26,0
,"Pakuranga Recreation & Youth Centre, 13c Reeves Road",0,0,1,0,0,3,18,0,2,4,2,9,0,39,0
,"Riverhills Primary School, 13 Waikaremoana Place",0,0,0,2,0,3,12,0,2,2,9,9,0,39,0
,"Sunnyhills Primary School, 17 The Crest",0,0,0,0,0,2,1,0,1,1,2,3,0,10,0
,Papakura
"Manurewa","Alfriston College, Alfriston Road entrance",0,0,0,0,0,4,17,0,4,0,1,1,0,27,0
,"Clayton Park School, Wattle Farm Road entrance",0,0,0,0,1,13,72,0,28,37,21,27,0,199,3
"Papakura","Cosgrove School, 10 Cosgrove Road",0,0,1,0,0,0,6,0,2,0,0,1,0,10,1
"Takanini","Takanini School Hall, 39 Takanini School Road ",0,0,0,0,0,0,10,0,3,2,0,1,0,16,1
,Tāmaki
"Ellerslie","Christ Church Anglican Church, 169 Ladies Mile",0,0,0,1,0,2,5,0,4,4,11,5,0,32,0
,"Ellerslie Kindergarten, 122 Celtic Crescent",0,0,0,0,0,2,7,0,4,2,4,3,0,22,0
"Glen Innes","Glen Innes Primary School, 38-42 Eastview Road",1,0,1,0,0,3,39,0,4,12,6,5,0,71,1
,"Glenbrae Primary School, 105 Leybourne Circle",0,0,0,0,0,7,39,0,14,12,2,4,0,78,4
,"Grace International, 77 Line Road",0,0,1,0,0,6,45,0,12,9,0,6,0,79,3
,"Sacred Heart College, 250 West Tamaki Road",0,0,0,0,0,2,12,0,1,1,1,0,1,18,1
,"Tamaki College, corner Elstree Avenue & Taniwha Street",0,0,0,0,0,5,60,0,19,20,4,5,0,113,5
"Glendowie","Churchill Park School, Riddell Road",0,0,0,0,0,3,2,0,0,5,0,1,0,11,0
,"Glen Taylor Primary School, 172 West Tamaki Road",0,0,0,0,0,3,14,0,4,4,2,0,0,27,0
,"Glendowie Primary School, 217 Riddell Road",0,0,0,0,0,2,2,0,0,0,2,2,0,8,1
"Kohimarama","Kohimarama Primary School, 112 Kohimarama Road",0,0,0,0,0,3,5,0,0,2,3,0,0,13,0
,"Presbyterian Church Hall, 34 Kohimarama Road",0,0,0,0,0,3,1,0,0,0,3,1,0,8,0
,"St Thomas's School, 113 Allum Street",0,1,0,0,0,7,5,0,1,4,8,0,0,26,0
"Meadowbank","Free Kindergarten, 122 Meadowbank Road",0,0,0,0,0,3,11,0,3,2,4,4,1,28,0
,"St Chad's Church Hall, 38 St John's Road",0,0,0,0,0,3,4,0,2,4,5,1,0,19,0
,"St John's College, Wesley Hall, 202-210 St John's Road",0,0,0,1,0,7,11,0,4,9,9,6,0,47,1
"Mission Bay","Patteson Guide Hall, 87 Patteson Avenue",1,0,0,0,0,8,2,0,0,2,4,2,0,19,0
"Orakei","Orakei Presbyterian Church Hall, 162 Coates Avenue",0,0,1,0,0,18,52,0,19,28,3,5,0,126,2
,"Orakei Primary School, 1 Grace Street",0,0,0,0,0,6,3,0,7,10,4,5,0,35,1
"Point England","Point England Primary School, 130 Point England Road",0,0,2,0,0,7,57,0,13,13,2,13,0,107,0
"Remuera","Baptist Church Hall, 641 Remuera Road",0,0,0,0,0,0,2,0,0,1,4,2,0,9,0
"St Heliers","Lawn Tennis Club, 3 Goldie Street",0,0,0,0,0,1,0,0,0,1,4,0,0,6,0
