Party and Electorate Candidate Votes Recorded at each polling place
"Te Tai Tokerau 68","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Dairy Flat","Dairy Flat School, 1220 State Highway 17, RD4",0,0,0,0,0,3,2,0,0,3,6,1,0,15,0
"Gulf Harbour","Gulf Harbour School, 65 Alec Craig Way",0,0,0,1,0,1,5,0,1,2,0,2,0,12,0
,"Wentworth College, 65 Gulf Harbour Drive",0,0,0,0,0,1,1,0,0,0,6,2,0,10,1
"Leigh","Leigh School, House of Learning, 26 Hauraki Road",0,0,0,1,0,2,8,0,2,5,3,7,0,28,1
"Manly","Manly Methodist Church, 945 Whangaparaoa Road",0,0,0,0,0,0,2,0,3,3,4,1,0,13,0
,"Whangaparaoa Primary School, 39 Ladies Mile",0,0,0,0,0,6,4,0,1,5,3,6,0,25,1
"Matakana","Matakana School, 952 Matakana Road",0,0,0,0,0,3,0,0,0,1,6,1,0,11,0
"Orewa","Orewa College, 76 Riverside Road",0,0,0,2,0,2,9,0,4,0,10,3,0,30,0
,"Orewa Community Centre, Main Hall, Orewa Square",0,0,1,0,0,6,10,0,1,8,3,6,0,35,0
,"Orewa North School, 280 Centreway Road",0,0,0,0,0,2,4,0,1,3,2,5,0,17,0
"Point Wells","Point Wells Community Hall, 5 Point Wells Road",0,0,0,1,0,0,0,0,0,0,6,1,0,8,0
"Puhoi","Puhoi Centennial Hall, 86 Puhoi Road",0,0,0,0,0,1,3,0,0,3,3,2,0,12,0
"Red Beach","Red Beach Methodist Church, 76 Red Beach Road",0,0,0,0,0,3,5,0,1,5,5,5,0,24,0
,"Red Beach School, 20 Albert Hall Drive",0,0,0,1,0,2,2,0,0,3,11,3,0,22,0
"Redvale","East Coast Bays Bible Baptist Church, 1092 East Coast Road",0,0,0,0,0,1,2,0,1,2,1,1,0,8,0
