Party and Electorate Candidate Votes Recorded at each polling place
"Taranaki-King Country 49","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Lepperton","Lepperton School, corner Richmond Road & Whitcombe Street",11,0,0,0,0,12,0,0,20,0,0,95,0,0,0,0,0,0,0,138,0
"Mahoe","Mahoe Hall, 1080 Opunake Road",11,0,0,2,0,1,0,0,8,0,0,61,0,0,0,1,0,3,0,87,1
"Mahoenui","Mahoenui Memorial Hall, State Highway 3",9,0,0,0,0,5,0,0,0,0,2,38,0,0,0,0,0,0,0,54,0
"Maihiihi","Maihiihi School, 775 Maihiihi Road",13,0,0,0,0,0,0,3,15,0,0,127,3,0,0,1,0,3,0,165,1
"Mairoa","Mairoa Hall, Mairoa Road",4,0,0,0,0,0,0,0,0,0,0,34,4,0,0,0,0,0,0,42,0
"Mangorei","Mangorei School Hall, 496 Mangorei Road",0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0
"Mapiu","Mapui School, 2739 State Highway 4",6,0,0,0,1,3,1,0,9,0,0,75,4,0,0,1,0,2,0,102,1
"Marokopa","Marokopa Community Hall, The Esplanade",9,0,0,0,0,4,0,0,3,0,0,37,4,0,0,0,0,0,0,57,0
"Matiere","Matiere School, 2106 Main Road",5,0,0,0,1,2,0,0,5,0,1,52,3,0,0,0,0,0,0,69,0
"Midhirst","Midhirst Primary School (Library), 8 Erin Street",10,1,2,0,1,7,2,4,51,0,1,201,18,0,0,4,0,0,0,302,2
"Mimi","Mimi School, 23 Pukearuke Road",9,0,1,0,0,5,0,0,16,0,1,93,4,0,0,0,0,0,0,129,0
"Mokau","Mokau Primary School, corner Rangi Street & Aria Terrace",11,0,1,0,0,4,0,1,19,1,0,125,13,0,0,0,0,0,0,175,2
"New Plymouth","Welbourn School Hall, Welbourn Terrace entrance",1,0,0,0,1,3,0,0,11,0,0,11,0,0,0,0,0,0,0,27,0
"Ngaere","Ngaere School, 4355 Mountain Road",12,0,0,0,0,6,1,0,18,0,2,102,4,0,0,1,0,0,1,147,0
"Ngahinapouri","Ngahinapouri School, 1185 Kakaramea Road",30,0,0,0,1,34,0,0,57,0,4,353,12,0,0,3,0,1,0,495,0
