Party and Electorate Candidate Votes Recorded at each polling place
"Ikaroa-Rawhiti 65","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
,"Wesley Centre (St David's Hall), 1 Benzie Avenue",0,0,0,0,1,0,0,0,11,0,10,1,6,0,0,0,0,0,0,29,0
"Wallaceville","Baptist Church Hall, Milton Street",0,0,0,0,0,0,0,0,28,0,7,3,2,0,0,0,0,0,0,40,0
,"Heretaunga College, Ward Street",0,0,0,0,0,2,0,0,37,0,8,5,5,0,0,0,0,1,0,58,0
,Tukituki
"Akina","Hastings Central School, 400 Karamu Road South",0,0,1,0,1,6,0,0,72,0,37,1,3,0,0,1,0,0,0,122,2
,"Hastings Intermediate School, Hastings Street South",0,0,0,0,0,0,0,0,35,0,4,2,1,0,0,0,0,0,0,42,0
"Bridge Pa","Bridge Pa School, 40 Maraekakaho Road",0,0,0,0,0,2,0,0,49,0,35,1,3,0,0,0,0,0,0,90,0
"Camberley","Camberley School, 627 Kiwi Street",0,0,2,0,1,2,0,0,134,0,67,4,5,0,0,0,0,0,0,215,1
,"Hawkes Bay Regional Hospital, Main Entrance, Omahu Road",0,0,3,0,0,1,0,1,33,0,17,2,2,0,0,0,0,0,1,60,0
"Clive","Clive Community Hall, Main Road",1,0,0,0,1,2,1,0,49,0,48,5,9,0,0,1,0,0,0,117,0
"Flaxmere","Ellen Stevenson Kindergarten, 90 Chatham Road",0,0,1,0,1,9,0,2,125,0,71,9,9,0,0,1,0,0,0,228,2
,"Flaxmere Primary School, 20 Henderson Road",0,0,3,0,3,5,0,0,125,0,77,9,4,0,0,1,1,0,0,228,3
,"Irongate School, Walton Way",0,0,1,0,0,2,0,0,117,0,45,7,3,0,0,0,0,0,0,175,5
,"Kimi Ora Community School, 1 Boston Crescent",0,0,7,0,1,3,0,0,94,0,41,2,5,1,0,0,0,0,0,154,3
,"Peterhead School, 10 Peterhead Avenue",0,0,4,0,0,6,0,0,185,0,69,8,2,0,0,0,0,0,0,274,4
"Frimley","Frimley School, 202 Frimley Road",0,0,0,0,1,5,0,0,55,0,25,8,5,0,0,0,0,0,0,99,3
"Hastings Central","District Courthouse, 102 Eastbourne Street West",0,0,3,0,0,3,0,0,35,0,20,6,5,0,0,0,0,0,0,72,0
,"St John Ambulance Hall, 107 Southland Road",0,0,1,0,0,3,0,0,31,0,18,2,7,0,0,0,0,0,0,62,0
,"Wesley Hall, Hastings Street South",0,0,2,0,1,0,0,0,19,0,15,2,1,0,0,0,0,0,0,40,2
