Party and Electorate Candidate Votes Recorded at each polling place
"Northland 34","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Electorate Party Valid Votes for Northland",,"National Party - .5170268692"
"ACT New Zealand",1443,.0421436916
"Alliance",28,.000817757
"Aotearoa Legalise Cannabis Party",144,.0042056075
"Democrats for Social Credit",48,.0014018692
"Family Party",162,.0047313084
"Green Party",2514,.0734228972
"Jim Anderton's Progressive",258,.0075350467
"Kiwi Party",216,.0063084112
"Labour Party",8573,.2503796729
"Libertarianz",25,.0007301402
"Maori Party",507,.014807243
"National Party",17703,.5170268692
"New Zealand First Party",2194,.0640771028
"New Zealand Pacific Party",17,.0004964953
"RAM - Residents Action Movement",6,.0001752336
"The Bill and Ben Party",153,.0044684579
"The Republic of New Zealand Party",5,.000146028
"United Future",228,.0066588785
"Workers Party",16,.0004672897
