Party and Electorate Candidate Votes Recorded at each polling place
"Ikaroa-Rawhiti 63","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
"Ruatoria","Manutahi School, 51 Tuparoa Road",0,0,0,1,0,0,1,0,6,0,191,0,157,5,0,19,1,0,0,381,5
"Te Araroa","Te Waha O Rerekohu Area School Staff Room, 3 Arewhena Street",0,0,0,0,0,0,4,0,4,0,65,0,65,1,0,6,0,0,0,145,0
"Te Karaka","Waikohu College, Kanakanaia Road",0,0,0,1,0,0,2,0,1,0,96,0,32,3,0,4,0,0,0,139,0
"Te Puia Springs","Te Puia Springs School, 28 McKenzie Street",0,1,0,0,0,0,0,0,0,0,44,0,27,0,1,6,0,0,0,79,2
"Tikitiki","Tikitiki School, 33 Rangitukia Road",0,0,0,0,0,0,1,0,3,0,85,0,80,3,0,4,0,0,0,176,0
"Tiniroto","Tiniroto School, 14 School Road",0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,1,0,0,0,10,0
"Tokomaru Bay","Hatea A Rangi School, 6 School Road",0,0,0,1,0,0,6,0,3,0,103,0,67,2,0,1,0,0,0,183,2
"Tolaga Bay","Area School, Resolution Street",0,0,0,2,0,0,1,0,8,0,209,0,45,2,0,15,0,0,0,282,1
"Tuai","Public Hall, Rotten Row",0,0,0,0,0,0,1,0,1,0,40,0,22,0,0,2,0,0,0,66,1
"Wainui","Wainui Beach School, 56 Wairere Road",0,0,0,0,0,0,0,0,3,0,21,0,8,3,0,1,0,0,0,36,1
"Wairoa","Taihoa Marae, Te Uhi Road",0,0,1,0,0,0,0,0,2,0,102,1,74,1,0,5,0,0,0,186,4
,"Wairoa College, Lucknow Street",0,0,0,6,0,0,5,0,1,1,104,0,44,3,0,6,0,0,0,170,2
,"Wairoa Memorial Hall, Queen Street",0,1,0,3,0,1,5,0,3,1,233,0,100,9,0,20,0,0,1,377,7
"Whangara","Whangara School, 44 Pa Road",0,0,0,0,0,0,1,0,1,0,21,0,11,0,0,1,0,0,0,35,2
"Whatatutu","Whatatutu School, Te Hau Road, RD 4, Te Karaka ",0,0,0,1,0,0,0,0,0,0,28,0,25,2,0,1,0,0,0,57,0
,Hutt South
"Hutt Central","Hutt Hospital, High Street",0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,7,0
"Petone","Petone Central School, 16 Britannia Street",0,0,0,0,0,0,0,0,0,0,6,0,3,1,0,1,0,0,0,11,0
"Wainuiomata","Arakura School, 209 Wellington Road",0,0,0,4,0,0,8,0,2,0,103,0,40,1,0,5,0,0,0,163,5
,"Fernlea School, Lees Grove",0,0,0,1,0,0,0,0,1,0,37,0,6,2,0,5,0,0,0,52,0
,"Holy Trinity Church, 40 Wainuiomata Road",0,0,1,1,0,0,0,0,1,2,56,0,18,3,0,2,0,0,3,87,1
,"Intermediate School, 66 Konini Street",1,2,1,0,0,0,2,0,1,0,77,0,20,4,0,4,0,0,1,113,0
,"Pukeatua School, 19 Frederick Street",0,0,0,2,0,0,4,0,2,0,91,0,22,2,0,4,0,0,0,127,3
,"St Peter's Church, 29 Wise Street",0,1,0,1,0,0,3,0,5,0,98,0,38,2,0,5,0,0,1,154,4
,"Wainuiomata Primary School, Homedale Road",0,0,0,3,0,0,3,0,4,1,84,0,18,5,0,5,0,0,0,123,2
,"Wainuiomata Union Church, 106 Main Road",0,0,0,0,0,0,2,0,1,1,47,0,13,2,0,5,0,0,0,71,0
,Napier
"Ahuriri","Port Ahuriri School, Lever Street",0,0,0,1,0,0,0,0,4,0,25,0,16,2,0,4,0,0,0,52,0
"Bay View","King George Hall, 1 Hill Road",0,1,0,0,0,0,1,0,0,1,30,0,19,2,0,8,0,0,0,62,1
"Bluff Hill","Napier Central School, Napier Terrace",0,0,0,0,0,0,1,0,2,1,9,0,2,4,0,2,0,0,0,21,0
,"Napier Girls High School, Clyde Road",0,0,0,0,0,0,0,0,3,0,4,0,1,0,0,1,0,0,0,9,0
"Clive","Clive Community Hall, Main Road",0,0,0,0,0,0,0,0,3,0,59,0,39,7,0,9,0,0,1,118,1
"Eskdale","Eskdale School, Hill Road",0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,1,0,0,2,10,0
"Greenmeadows","Girl Guide's Hall, cnr Auckland Road and York Avenue",0,0,0,0,0,0,0,0,3,0,29,0,7,1,0,2,0,0,0,42,3
,"Greenmeadows Primary Public School, 45 Osier Road",0,0,0,0,0,0,0,0,0,0,30,0,6,3,0,2,0,0,0,41,0
,"Salvation Army Hall, 56 Tait Drive",0,0,0,0,0,0,1,0,1,0,20,0,18,3,0,3,0,0,0,46,0
"Haumoana","Haumoana Public Hall, Haumoana Road",0,0,0,0,0,0,1,0,7,0,24,0,22,3,0,4,0,0,0,61,0
"Mangateretere","Mangateretere School, Main Road",0,0,0,1,0,0,1,0,3,0,47,0,54,1,0,3,0,0,0,110,1
"Maraenui","Maraenui Bilingual School, Lister Crescent",0,1,0,4,0,0,0,0,3,0,139,0,49,1,0,3,0,0,0,200,3
,"Richmond School, Barnard Avenue",0,0,0,4,0,0,2,0,8,0,147,0,57,1,0,5,0,0,0,224,3
