Party and Electorate Candidate Votes Recorded at each polling place
"Tainui 64","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
,Auckland Central
"Glenview","Glenview Primary School, Bruce Avenue",0,0,0,1,0,0,1,0,2,1,41,0,15,6,0,4,0,0,1,72,0
"Hamilton","Hamilton's Fraser High School, 72 Ellicott Road",0,0,0,0,0,0,0,0,1,0,17,0,10,1,0,1,0,0,1,31,0
,"Waikato Hospital, Pembroke St",0,0,0,0,0,0,1,0,1,0,43,0,17,5,0,3,0,0,1,71,1
"Hamilton West","Hamilton West School, Fow Street",0,2,0,1,0,0,3,0,3,0,39,0,20,3,0,4,0,0,0,75,3
"Koromatua","Koromatua School, 355 Koromatua Road",0,0,0,0,0,0,0,0,0,0,2,0,4,1,0,2,0,0,2,11,0
"Maeroa","Maeroa Intermediate, Churchill Avenue",0,0,0,0,0,0,1,0,3,0,59,0,25,5,0,6,0,0,0,99,2
"Melville","Melville Intermediate, Mountview Road",0,0,0,2,0,0,2,0,1,0,59,0,36,4,0,7,0,0,0,111,0
,"Melville Methodist Church Hall, cnr Bader St & Normandy Ave",0,0,0,2,0,0,1,0,6,0,90,0,38,2,0,11,0,0,1,151,3
,"Melville Primary School, 101 Ohaupo Road",0,1,0,1,0,0,2,0,4,0,61,0,32,1,0,11,0,0,0,113,5
"Nawton","Crawshaw School, Crawshaw Drive",0,0,0,2,0,0,1,0,2,0,109,0,36,0,0,2,0,0,0,152,3
,"Nawton School, Livingstone Avenue",0,0,0,4,0,0,0,0,10,0,144,0,45,5,0,7,0,0,0,215,2
,"St Marks Hall, cnr Dominion Rd & Breckons Avenue",0,0,0,3,0,0,2,0,5,0,99,0,45,0,0,11,0,0,1,166,7
"Pukete","Pukete School, 100 Pukete Road",0,0,0,0,0,0,6,0,2,0,40,0,18,5,0,10,0,0,0,81,0
,"Te Rapa Primary School, 63 Ashurst Avenue",0,0,0,0,0,0,0,0,0,0,31,0,10,1,0,4,0,0,0,46,0
"Rotokauri","Rotokauri School, 462 Rotokauri Road",0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,2,0,0,0,9,0
"St Andrews","All Saints Hall, cnr Cecil St & Sandwich Rd",0,1,0,0,0,0,0,0,0,0,48,0,14,1,0,6,0,0,0,70,1
