Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Tonga 68","Candidate Vote Details"
,,"CALDWELL, Russell Stanton","OHIA, Rereamoamo Monte","OKEROA, Mahara","SAMUEL, Maru David","STANTON TURIE, Metiria Leanne Agnes","Total Valid Candidate Votes","Informal Candidate Votes"
,Aoraki
"Hutt Central","Eastern Hutt School, 83 Kings Crescent",1,9,11,1,0,22,0
,"Hutt Hospital, High Street",0,5,11,2,2,20,1
,"Hutt Intermediate School Hall, Wilford Street",0,0,5,0,1,6,0
,"Hutt Valley High School, 84 Woburn Road",2,18,13,3,1,37,0
,"Knox Presbyterian Church Hall, 574 High Street",1,7,18,3,2,31,3
,"St Bernard's College, 183 Waterloo Road",0,4,8,0,4,16,1
,"STS Peter and Paul School, Myrtle Street",0,1,5,0,4,10,0
"Moera","Randwick School, Randwick Road",0,27,62,6,10,105,3
"Naenae","Kindergarten, 19 Seddon Street",0,35,32,3,7,77,3
,"Maota Samoa Hall, 25 Treadwell Street",0,26,40,0,4,70,3
,"Naenae School, Wheatley Street",1,31,46,7,4,89,3
"Petone","Air Training Corps Drill Hall, 2A Udy Street",0,17,19,0,5,41,1
,"Petone Central School, 16 Britannia Street",0,51,76,1,12,140,4
,"Wilford School Hall, William Street",0,41,49,4,16,110,2
"Waiwhetu","Our Lady of the Rosary School, Wainui Road",1,6,15,2,2,26,3
,"St Paul's Parish Hall, 76 Waiwhetu Road",0,7,8,2,3,20,0
,"Waiwhetu Marae Meeting House, Puketapu Grove",0,68,64,4,3,139,2
"Waterloo","Waterloo School, Hardy Street",1,14,24,1,4,44,0
,Ilam
"Avonhead","Avonhead School Hall, 55 Avonhead Road",0,6,5,1,1,13,0
,"Merrin School Hall, 41 Merrin Street",3,3,5,0,1,12,1
,"St Christopher's Church Warren Hall, 244 Avonhead Road",2,1,5,0,1,9,0
,"St Mark's Church Main Lounge, 150 Withells Road",0,1,8,2,7,18,1
"Bishopdale","Breens Intermediate School Hall, 85 Breens Road",1,10,13,1,1,26,1
,"Crossroads at Bishopdale, cnr Farrington Ave and Kilburn St",2,9,9,0,1,21,2
,"Isleworth School Hall, 59A Farrington Avenue",1,4,7,0,0,12,1
"Bryndwr","Aorangi School Hall, Colwyn Street",0,11,4,0,3,18,1
,"St Mathew's Church Main Hall, Jeffreys Road",1,1,3,1,1,7,0
,"St Stephen's Presbyterian Church Hall, cnr Ilam and Aorangi Roads",1,6,7,0,4,18,1
,"Wairakei School Hall, 250 Wairakei Road",1,5,14,0,1,21,0
"Burnside","Burnside High School J Block, Memorial Avenue entrance",2,2,2,0,0,6,2
,"Elim Church, 193 Grahams Road",0,8,2,0,1,11,0
,"Kendal School Hall, 53 Kendal Avenue",0,6,4,0,1,11,1
,"Roydvale School Hall, 117 Roydvale Avenue",1,5,0,3,0,9,0
"Fendalton","Christchurch Boys High School, Big Room, Straven Road",3,8,1,0,0,12,0
,"Fendalton Community Centre (former old library), 170 Clyde Road",2,4,13,0,3,22,1
,"Medbury Preparatory School Hall, 109 Clyde Road, (cnr Creyke Road)",0,3,1,0,2,6,0
"Ilam","Ilam School Hall, 66 Ilam Road",1,8,12,0,2,23,1
,"Waimairi Road Community Centre Front Hall, 166-168 Waimairi Road",0,1,2,0,2,5,1
,"Westburn School Hall, 257 Waimairi Road",0,3,5,0,1,9,0
"Merivale","St Mary's Parish Centre Main Hall, 30 Church Lane (cnr Papanui Road)",1,3,5,1,3,13,1
"Papanui","St Paul's Anglican Church Lounge, 1 Harewood Rd",0,4,5,0,2,11,1
,"Waimairi School Hall, Tillman Avenue",0,5,11,0,0,16,0
"Riccarton","New Zealand CCS (Inc) Lounge, 27 Kilmarnock Street",0,0,5,0,1,6,0
,"St Ninian's Presbyterian Church Hall, 9 Puriri St",0,3,2,0,1,6,0
"Upper Riccarton","Villa Maria College Hall, Brodie Street",0,10,1,0,3,14,1
,Invercargill
"Bluff","Bluff Community School, Onslow Street",8,20,59,0,6,93,6
,"St Teresa's School, 181 Foyle Street",3,11,47,2,4,67,2
"Gorge Road","Gorge Road School, Gorge Road",3,3,3,0,2,11,0
"Invercargill","Ascot Community School, 580 Tay Street",2,12,14,0,0,28,1
,"Aurora College, Regent St",1,11,30,0,4,46,0
,"CCS Southland, 142 Don St",0,4,5,0,0,9,0
,"Clifton Salvation Army Hall, Wicklow St",2,21,25,1,2,51,2
,"Donovan School, Drury Lane",0,10,8,1,4,23,0
,"Eastside Baptist Church, cnr Glengarry Cres and Yarrow Street",3,15,21,1,4,44,5
,"Elles Road Bible Chapel, 198 Earn St",0,26,43,1,5,75,5
,"Fernworth School, Pomona St",0,25,58,2,5,90,3
,"Gladstone Scout Hall, cnr Holywood Terrace and Russell Street",1,1,4,0,1,7,0
,"Glengarry Church of Christ, cnr Yarrow St and Adamson Crescent",1,8,16,1,0,26,2
,"Grasmere Church Hall, Heywood Street",1,7,16,1,2,27,1
,"Holy Trinity Anglican Church Hall, King St",0,3,9,1,0,13,1
,"James Hargest High School, 288 Layard Street",0,3,5,1,1,10,0
,"James Hargest Junior Campus, 6 Layard St",0,4,9,0,0,13,0
,"Kew Kindergarten, 51 Selwyn Street",0,10,9,0,0,19,0
,"Knox Church Hall, 107 Pomona Street",1,12,16,1,7,37,2
,"Lindisfarne Kindergarten, 34 Mitchell Street",0,1,6,1,1,9,1
,"Middle School Hall, Jed Street",0,11,16,0,3,30,1
,"New River School, 117 Elizabeth St",3,11,32,1,1,48,1
,"Newfield Park School, Totara St",2,4,8,2,1,17,0
,"Newfield Public Hall, Tweed Street",1,15,32,2,1,51,1
,"North Invercargill Presbyterian Church Jubilee Hall, Windsor Street",1,4,16,4,3,28,0
,"Rawhiti Scout Hall, Exmouth Street",1,3,4,0,0,8,0
,"Rosedale Bible Chapel, Bourke Street",0,0,6,1,0,7,0
,"Southland Girls' High School Hall, 328 Tweed St",0,10,34,0,8,52,1
,"St Andrew's Youth Centre, Elles Road",2,13,43,2,3,63,0
,"St John's Girls' School, 349 Dee Street",0,2,7,0,1,10,2
,"St John's Parish Hall, 108 Tay Street",0,13,8,0,2,23,1
,"St Joseph's School, Tyne Street",0,3,4,1,0,8,1
,"St Paul's Hardie Hall, Dee St",0,3,4,0,2,9,0
,"St Stephen's Church Hall, 290 North Rd",1,2,12,2,4,21,1
,"Waihopai School (Room 3), Herbert Street",0,5,12,3,3,23,0
,"Windsor North School Hall, Windsor Street",0,4,8,0,0,12,0
"Makarewa","Makarewa School, 56 Flora Road East",1,2,4,1,2,10,0
"Mokotua","Mokotua Public Hall",0,2,2,0,1,5,1
"Myross Bush","Myross Bush School, Mill Road North",1,1,3,0,1,6,1
"Otatara","Otatara Community Centre, Dunns Road",3,10,16,0,3,32,3
"Stewart Island","Halfmoon Bay School, Ayr Street",0,1,8,1,1,11,1
"Wallacetown","Wallacetown School, 34 Mauchline Street",1,1,3,0,4,9,0
,Kaikoura
"Amberley","Hurunui District Council, 66 Carters Road",3,1,5,2,3,14,1
"Blenheim","Baptist Church Hall, 8 Beaver Road",1,7,11,1,1,21,0
,"Bohally Intermediate School Hall, McLauchlan Street",1,7,10,0,3,21,0
