Electorate Candidate Votes Recorded at Each Voting Place
"Rangitīkei 43","Candidate Vote Details"
,,"BROWN, Roy Kerry","McKELVIE, Ian Robert Flockhart","RUDZKI, Romuald Edward John","RUSSELL, Deborah Faye","WILSON, Neil John","Total Valid Candidate Votes","Informal Candidate Votes"
"Whangaehu","Whangaehu School, Ruatangata Street",1,45,6,13,0,65,1
,"Voting places where less than 6 votes were taken",0,0,0,2,0,2,0
,"Ordinary Votes BEFORE polling day",401,4951,622,2349,49,8372,94
,"Special Votes BEFORE polling day",32,432,50,287,1,802,19
,"Special Votes On polling day",89,1100,139,539,16,1883,28
,"Overseas Special Votes including Defence Force",10,183,13,104,5,315,2
,"Rangitīkei Total",1505,20487,2352,9427,179,33950,355
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",34305
"Electorate Candidate Valid Votes","Party",,"McKELVIE, Ian Robert Flockhart - majority 11060"
"BROWN, Roy Kerry",Conservative,1505,.0443298969
"McKELVIE, Ian Robert Flockhart",National Party,20487,.6034462445
"RUDZKI, Romuald Edward John",New Zealand First Party,2352,.0692783505
"RUSSELL, Deborah Faye",Labour Party,9427,.2776730486
"WILSON, Neil John",ACT New Zealand,179,.0052724595
