Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Tonga 69","Candidate Vote Details"
,,"DEARLOVE, Clinton","KĀTENE, Rāhui ","KINGI, Emma-Jane Alice Mihaere","LANGSBURY, Dora Roimata","TIRIKATENE, Rino","Total Valid Candidate Votes","Informal Candidate Votes"
"Heathcote Valley","Heathcote Valley School, 67 Bridle Path Road",0,3,0,2,4,9,0
"Hillsborough","Training & Beyond, Unit 1, 201 Opawa Road (near corner of Garlands & Opawa Roads)",1,7,0,0,1,9,0
"Linwood","Linwood Avenue School, 260 Linwood Avenue",1,16,2,2,21,42,1
,"Union Church Hall, 378 Linwood Avenue",4,15,1,5,24,49,5
"Lyttelton","Lyttelton Recreation Centre, 25 Winchester Street",2,2,0,5,15,24,0
"Mt Pleasant","Mt Pleasant School, 82 Major Hornbrook Road",0,5,0,0,3,8,0
"Opawa","Opawa Baptist Friendship Centre, 282 Wilsons Road",2,5,0,2,9,18,0
,"Opawa School, corner Ford Road & Newbery Street ",0,5,0,5,5,15,0
,"St Mark's Church Hall, corner Opawa Road & Vincent Place",3,2,0,1,2,8,0
"Redcliffs","St Andrews Anglican Church, 148 Main Road,",0,7,0,0,2,9,0
"St Martins","Hillview Christian Junior School, 150 Wilsons Road",0,11,0,1,13,25,1
,"St Martins School, 24 Albert Terrace (opposite Roscoe Street)",1,10,0,1,7,19,0
"Sumner","Sumner School, Colenso Street (Dryden Street West entrance)",2,5,2,3,9,21,2
"Sydenham","Special Needs Library, 109 Huxley Street",1,7,1,5,15,29,0
,"Sydenham Community Centre, 23-25 Hutcheson Street",2,2,1,5,7,17,1
"Waltham","Waltham School, corner Hastings Street East & Vienna Street",3,8,3,2,19,35,1
"Woolston","Bamford School, 8 Gould Crescent",0,9,1,2,7,19,0
,"Christchurch Polytechnic, Student Services Building, corner Ensors Road & Sulllivan Avenue",0,2,1,0,8,11,0
,"Edmonds-Smith Street Kindergarten, 21 Smith Street",3,8,0,6,7,24,2
,"St Johns Church Hall, corner St John's Street & Ferry Road",4,15,0,9,20,48,2
,"Woolston School, corner Ferry Road & Hopkins Street",4,13,1,9,16,43,2
,Rangitata
"Arowhenua","Arowhenua Maori School, 33 Huirapa Street",2,5,0,6,12,25,3
"Ashburton","Allenton School Hall, 110 Harrison Street",1,10,1,7,12,31,4
,"Ashburton Intermediate School, 144 Cass Street",5,6,3,1,14,29,2
,"Hampstead School, 55 Wellington Street",4,13,2,5,9,33,1
,"Sinclair Community Centre, 74 Park Street",0,3,1,3,3,10,1
,"St John Rooms,  241 Tancred Street",1,2,0,6,5,14,0
,"Tinwald War Memorial Hall, corner Graham and McMurdo Streets",1,6,2,3,9,21,2
,"Walnut Ave Pavillion, 66 Walnut Avenue",5,1,1,0,2,9,1
"Fairton","Fairton School, 14 Fairfield Road",1,2,2,2,3,10,0
"Hinds","Hinds School, 54 Reed Street",2,2,1,0,4,9,0
"Methven","Mt Hutt College Hall, corner Main and McDonald Streets",1,3,0,3,6,13,2
"Pleasant Point","Pleasant Point Primary School, Victor Wilson Hall, 33 Halstead Road",0,2,2,3,6,13,1
"Rakaia","Rakaia Community Centre, corner Elizabeth Avenue and Mackie Street",2,8,0,2,15,27,1
"Temuka","Opihi College, 83 Richard Pearse Drive",1,3,3,2,6,15,3
,"Presbyterian Church Complex, corner Hally Terrace and Wilmshurst Road",1,2,2,4,6,15,3
,"St John Ambulance Hall, 47 King Street",0,6,0,4,9,19,3
,"Temuka Primary School, 9 Hayhurst Street",0,2,2,1,7,12,2
"Timaru","Bluestone School, 46 Raymond Street",0,3,0,1,6,10,1
,"Courthouse, 12 North Street",0,0,0,0,6,6,0
,"Gleniti School, 22 Heath Street",1,1,0,1,1,4,2
,"Grantlea Downs School, 65 Grants Road",1,5,0,4,15,25,1
,"Highfield School, 26 Rimu Street",1,3,0,0,2,6,0
,"Methodist Church Hall, corner North Street and Woodlands Road",1,9,0,3,6,19,0
,"Oceanview Heights School, 241 Selwyn Street",0,8,1,1,6,16,0
,"Roncalli College, 19 Wellington Street",0,3,0,2,8,13,0
,"South School, 44 Queen Street",0,6,1,4,14,25,4
,"St John's Church Hall, 125 Wai-iti Road",1,2,1,2,11,17,2
,"St Mary's Church Hall, 24 Church Street",1,1,1,1,9,13,4
,"St Peter's Church Hall, 11 Otipua Road",2,0,0,0,6,8,0
,"St Stephen's Church Hall, 349 Wai-iti Road",0,2,0,3,3,8,0
,"Timaru Girls High School, corner Hassall and Cain Streets",0,3,5,1,9,18,1
,"Waimataitai School Hall, 29 Trafalgar Street",1,3,0,4,6,14,2
,"Washdyke Community and Sports Centre, Sir Basil Arthur Park, 92 Pleasant Point Highway",1,6,1,0,2,10,1
"Winchester","Winchester Rural School, State Highway 1",0,3,0,2,5,10,0
,Rongotai
"Berhampore","Berhampore School Hall, 105 Britomart Street (Stanley Street entrance)",2,8,2,12,12,36,0
,"South Wellington Intermediate School Library, 165 Rintoul Street",2,5,0,6,14,27,0
,"St Cuthbert's Church Hall, 23 Luxford Street",1,3,0,1,6,11,1
"Chatham Islands","Chatham Islands Council Building, 9 Tuku Road, Waitangi",5,28,1,2,12,48,3
"Hataitai","Hataitai School Hall, corner Arawa, Hataitai & Hohiria Roads",0,15,0,6,4,25,1
,"Kilbirnie School Hall, 72 Hamilton Road",1,9,0,7,16,33,0
"Houghton Bay","Houghton Valley School Hall, 110 Houghton Bay Road",0,6,0,5,3,14,1
"Island Bay","Island Bay Presbyterian Church Lounges, 88 The Parade",5,10,3,2,16,36,0
,"Island Bay School Hall, 6 Thames Street",0,5,0,5,3,13,0
,"St Hilda's Church Parish Centre, 311 The Parade",4,11,0,5,14,34,0
,"Wellington South Baptist Church, 284 The Parade",1,1,0,1,3,6,0
"Kilbirnie","Evans Bay Intermediate School, 14 Kemp Street",1,7,0,2,9,19,2
,"St Patrick's College, Staffroom, corner Evans Bay Parade & Cobham Drive",1,7,0,2,6,16,1
"Kingston","Capital Montessori School, Rata Classroom, 14 Camrose Grove",0,11,0,2,4,17,0
"Lyall Bay","Lyall Bay School Hall, 40-46 Freyberg Street",6,25,1,9,13,54,2
,"Lyall Bay Surf Club, Lyall Bay Parade (opposite 88 Lyall Bay Parade)",1,8,0,4,21,34,0
"Maupuia","Garage, 15 Kaikoura Street",1,7,0,1,6,15,0
"Miramar","Holy Cross School Hall, 117 Miramar Avenue",0,16,0,5,18,39,2
,"Miramar Baptist Church, 33 Park Road",3,13,1,4,8,29,0
,"Miramar Central School Hall, 38 Park Road",1,16,0,7,26,50,4
,"Miramar Christian School, Kowhai Class, 41 Camperdown Road",0,3,0,2,3,8,1
,"Miramar South School Hall, 7 Kauri Street",4,3,1,2,8,18,2
"Mornington","Ridgway School Hall, 120 Mornington Road",1,7,0,3,5,16,0
"Newtown","Newtown Park Stadium, Function Room, Daniell Street or Mansfield Street entrances",1,4,1,0,8,14,0
,"Newtown School Hall, corner Riddiford & Mein Streets",5,30,1,9,37,82,2
,"Salvation Army Hall, 16-22 Constable Street",5,14,0,5,9,33,0
,"Te Whaea New Zealand School of Dance, 11 Hutchison Road",2,3,1,3,3,12,0
,"Wellington Chinese Baptist Church Hall, 24 Donald McLean Street",2,9,0,4,14,29,1
,"Wellington Hospital, Te Ao Marama Training Centre, Riddiford Street (main entrance)",1,4,1,3,5,14,0
,"Wellington Pipe Band Hall, corner Stoke & Hanson Streets",1,3,0,0,4,8,2
"Owhiro Bay","Owhiro Bay School Hall, 96 Happy Valley Road",3,8,0,6,17,34,1
"Rongotai","Rongotai College, Renner Hall, 170 Coutts Street",7,19,3,4,21,54,2
"Roseneath","Roseneath School Hall, 13 Maida Vale Road",0,0,1,3,3,7,0
"Seatoun","Seatoun School Hall, 59 Burnham Street",0,5,1,0,2,8,0
,"St Christopher's Church Hall, 26a Ventnor Street",3,9,0,0,10,22,0
"Strathmore Park","Strathmore Community School Hall, 108 Strathmore Avenue",11,18,0,2,25,56,1
"Worser Bay","Worser Bay School, Middle Area, 168 Seatoun Heights Road",0,3,0,2,1,6,0
,Selwyn
"Aidanfield","Aidanfield Christian School Library, 2 Nash Road",0,5,0,1,1,7,0
"Akaroa","Akaroa Sports Centre, Rue Jolie",0,8,1,6,6,21,0
"Burnham","Burnham School, Whare, corner Chaytor Avenue & Godley Road",0,9,1,4,12,26,0
"Darfield","Darfield High School, McLaughlins Road",1,1,0,1,3,6,1
,"Darfield Service Centre, 1 South Terrace",0,6,3,3,4,16,2
"Dunsandel","Dunsandel Sports Centre, Tramway Road (off Main Road)",1,4,0,1,1,7,0
"Duvauchelles","Duvauchelles Hall, Main Road",0,1,2,2,1,6,1
"Halswell","Halswell School, corner Kennedys Bush & School Roads",0,6,1,1,3,11,2
,"St Mary's Anglican Church Hall, 329 Halswell Road",3,7,0,3,15,28,3
,"Sts Peter & Paul Catholic Church Hall, 56 Nicholls Road",0,6,0,3,2,11,1
"Irwell","Irwell Hall, corner Leeston & Selwyn Lake Roads",1,4,0,0,2,7,1
"Leeston","Leeston Consolidated School, 3 Selwyn Street",0,6,1,3,9,19,0
"Lincoln","Lincoln High School, 134 North Belt",4,1,0,0,5,10,0
"Little River","Community Centre, Main Road Akaroa Highway",0,6,0,4,2,12,1
"Oaklands","Oaklands School, Cunningham Place",2,4,0,2,5,13,0
"Port Levy","Old Port Levy School, Western Valley Road",0,2,0,0,4,6,0
"Prebbleton","Prebbleton School, Blakes Road",0,6,1,1,5,13,1
"Rolleston","Rolleston Community Centre, 94 Rolleston Drive",1,27,1,10,20,59,6
"Southbridge","Southbridge School, 25 Hastings Street",0,5,1,3,5,14,0
"Springston","Springston Primary School Library, 16-20 Leeston Road",1,3,0,2,5,11,0
"Tai Tapu","Tai Tapu School, Main Akaroa Highway",0,2,0,3,3,8,0
"Templeton","Templeton Primary School, 40 Kirk Road",1,10,1,2,9,23,0
,Waimakariri
"Belfast","Belfast Salvation Army, 792-794 Main North Road",1,9,1,0,10,21,0
,"Belfast School, 700 Main North Road",0,5,0,1,16,22,0
,"Papanui ACC Office, Northwood Supa Centre, 1 Radcliffe Road",1,5,0,2,1,9,0
"Fernside","Fernside School, 285 O'Roarkes Road",1,3,0,0,3,7,1
"Kaiapoi","Kaiapoi Co-operating Parish, Wesley Centre, 53 Fuller Street",4,8,2,6,23,43,2
,"Kaiapoi High School Auditorium,  85 Ohoka Road",4,8,1,3,23,39,1
,"Kaiapoi North School, 278 Williams Street",1,10,2,9,14,36,0
,"Kaiapoi Rugby Club, Smith Street ",0,14,1,3,8,26,2
"Ohoka","Ohoka School, 261 Jacksons Road",0,7,1,1,2,11,0
"Oxford","Jaycee's Room, Main Street",0,4,4,2,5,15,0
"Papanui","Casebrook Intermediate, 90 Veitches Road",0,8,2,9,11,30,0
"Rangiora","Ashgrove School, 48 Seddon Street",1,1,0,0,5,7,2
,"McAlpine Band Hall, 8a Good Street",1,8,0,7,9,25,1
,"Rangiora Borough School, 157 King Street",3,6,1,6,12,28,0
,"Rangiora High School, East Belt",1,3,1,2,6,13,0
,"Southbrook School, 26 Marshall Street",1,9,0,2,7,19,2
"Redwood","Early Childhood Centre, 339 Main North Road",0,3,1,1,6,11,0
,"Northcote School, 26 Tuckers Road",2,11,0,4,21,38,3
,"Redwood Play Centre, 40 Dunedin Street",0,2,0,0,4,6,0
,"Redwood School, 51 Prestons Road",2,6,1,3,19,31,0
"Swannanoa","Swannanoa School, 1305 Tram Road ",0,4,0,0,5,9,1
"Tuahiwi","Tuahiwi School, 206 Tuahiwi Road",3,14,3,5,16,41,0
"Waikuku Beach","Waikuku Beach Hall, Park Terrace",1,7,0,0,3,11,2
"Woodend","Woodend School, Main North Road",1,10,1,6,14,32,2
,Waitaki
"Alexandra","Alexandra Primary School, 2 Ventry Street",0,5,0,5,5,15,0
,"Dunstan High School Hall, 12 Enterprise Street",0,5,0,4,4,13,2
,"St Gerard's Parish Hall, 2 Station Street (Tarbert Street entrance)",0,3,2,3,3,11,1
"Clyde","Clyde Primary School, 25 Blyth Street",0,4,0,2,3,9,0
"Cromwell","Memorial Hall, 36 Melmore Terrace",1,6,1,8,5,21,2
"Geraldine","Geraldine High School Library, 85 McKenzie Street",0,0,2,3,2,7,0
,"Geraldine Primary School, 73 Wilson Street",1,0,1,4,6,12,0
"Glenavy","Glenavy School, 15 Ruane Street",2,2,1,0,5,10,1
"Hampden","Hampden Primary School, 41-47 Norwich Street",0,1,1,3,6,11,0
"Kakanui","Kakanui Primary School, 5 Fyfe Place",1,0,0,2,2,5,2
"Kurow","Memorial Hall, 49 Gordon Street",0,2,0,1,2,5,1
"Lake Hawea","Community Centre, Myra Street",0,1,1,2,2,6,1
"Lake Roxburgh","Coal Creek Community Hall, Tamblyn Drive",0,5,0,2,1,8,0
"Luggate","Luggate Hall, State Highway 6",0,1,1,2,2,6,0
"Moeraki","Coronation Hall, 41 Haven Street",0,0,0,1,4,5,1
"Oamaru","Eveline Church Hall, 424a Thames Highway",1,6,1,1,6,15,0
,"Fenwick School, 25a Arun Street",2,4,2,3,11,22,1
,"Garrison Band Hall, corner Severn and Isis Streets",1,1,1,4,5,12,0
,"North School, 40 Torridge Street",0,1,2,0,3,6,0
,"Pembroke School, Harlech Street",1,3,0,2,10,16,0
,"Waitaki Girls' High School, 270 Thames Street",3,2,1,3,6,15,1
"Omarama","Omarama School, Omarama Avenue",0,3,2,1,1,7,0
"Otematata","Otematata Fire Station, 1 Tasman Road",0,1,1,1,4,7,0
"Palmerston","Community Centre, 104a Ronaldsay Street",0,3,1,1,8,13,1
"Ranfurly","Maniototo Community Library, 15 Caulfeild Street",0,3,0,2,3,8,0
"Roxburgh","Roxburgh Area School Library, 78 Scotland Street",0,3,0,2,3,8,0
"Twizel","Twizel Area School, Mt Cook Street",0,6,1,3,5,15,2
"Waimate","Centennial School, 5 Hughes Street",0,2,0,0,4,6,1
,"Silver Band Hall, 135 High Street",0,3,1,2,5,11,0
,"Waimate Main School Hall, 29 John Street",1,0,1,1,8,11,3
"Wanaka","Lake Wanaka Centre, 89 Ardmore Street",1,5,0,7,6,19,2
,"Mt Aspiring College Gymnasium, 121 Plantation Road",0,5,1,3,4,13,0
"Weston","Weston Primary School, 1 Charles Street",2,2,0,3,7,14,0
,Wellington Central
"Brooklyn","Brooklyn Community Centre, 18 Harrison Street",2,10,1,8,5,26,0
,"Brooklyn School, 58 Washington Avenue",2,8,0,0,4,14,0
,"St Bernard's School, 40 Taft Street",1,5,0,3,1,10,2
"Karori","Karori Baptist Church, 161-163 Karori Road",1,6,1,3,3,14,2
,"Karori Normal School, 2 Donald Street",2,13,0,4,2,21,0
,"Karori Playcentre, 64 Campbell Street ",1,2,0,0,2,5,1
,"Karori West School, 7-21 Allington Road",1,9,0,9,12,31,0
,"Karori West Scout Hall, 21 Sunshine Avenue",4,1,0,1,7,13,0
,"St Teresa's Parish Hall, 301 Karori Road",1,5,0,0,8,14,2
"Kelburn","Kelburn Normal School, 16 Kowhai Road",1,9,0,1,4,15,0
,"St Michael's and All Angels Parish Hall, 83 Upland Road",2,7,0,4,2,15,0
"Makara","Makara Model School, 399 Makara Road",2,7,0,0,3,12,0
"Mt Cook","St Paul's Lutheran Church, 12 King Street",0,9,1,4,3,17,0
"Mt Victoria","Clyde Quay School, 27 Elizabeth Street",3,12,1,7,24,47,1
"Northland","Northland School, 14 Harbour View Road",0,4,1,0,8,13,0
,"St Anne@Ward Church Hall, 69 Northland Road",0,6,0,3,5,14,0
"Oriental Bay","Band Rotunda, 245B Oriental Parade",2,6,0,1,1,10,0
"Thorndon","St Mary's College, 16 Guildford Terrace",0,4,0,1,3,8,0
,"Thorndon School, 19b Hobson Crescent or 26 Murphy Street",3,21,0,5,7,36,3
,"Wellington Bridge Club, 17 Tinakori Road",1,4,0,1,6,12,0
"Wadestown","St Luke's Centre, 32 Pitt Street",2,10,1,2,5,20,0
"Wellington City","Aro Valley Community Centre, 48 Aro Street",4,7,1,11,24,47,2
,"Capital E, Civic Square",1,11,0,4,13,29,1
,"Chaffers Dock Atrium, 18 Herd Street",1,2,1,3,8,15,0
,"Davidic Centre, 28-30 Hopper Street",4,8,1,2,13,28,2
,"Michael Fowler Centre, Renouf Foyer, Level 1, 111 Wakefield Street",5,18,1,11,17,52,0
,"Mount Cook Primary School, 160 Tory Street",1,10,0,6,9,26,1
,"St Andrew's Church Hall, 30 The Terrace",3,3,0,1,4,11,0
,"St John's Church Conference Centre, corner Dixon & Willis Streets",5,9,1,4,7,26,3
,"Te Aro School, 360 The Terrace",1,4,0,1,2,8,0
,"Wellington High School, 249 Taranaki Street",0,9,1,4,7,21,0
"Wilton","Otari School, 166 Wilton Road",0,8,0,3,8,19,0
,West Coast-Tasman
"Arahura","Te Tari O Te Runanga O Ngatiwaewae, 1 Old Christchurch Road (off State Highway 6)",1,1,1,2,13,18,1
"Blackball ","Blackball Fire Station, Hilton Street",0,1,0,0,6,7,0
"Cobden ","Bowling Club Rooms, 84a Ward Street",0,3,1,0,5,9,1
,"Cobden School, 53 Fox Street",1,6,1,2,7,17,3
"Dunollie","Dunollie St John's Hall, corner Bute & Inverness Streets",0,1,0,1,7,9,0
"Franz Josef","Franz Josef Community Centre, Main Road",0,4,1,1,2,8,0
"Granity ","Granity School, 83 Torea Street",0,2,0,1,4,7,0
"Greymouth","Grey Base Hospital, High Street",0,3,0,0,2,5,1
,"Grey United Tennis Club, Shakespeare Street",1,2,0,1,6,10,0
,"Karoro Learning Centre, 180 Tainui Street",1,7,0,0,3,11,1
,"Karoro School, Old Library, Main South Road",0,2,0,0,3,5,1
,"Regent Theatre, corner MacKay & Herbert Streets",0,1,1,0,11,13,1
"Hokitika","Church of Christ Hall, corner Sale & Stafford Streets",1,10,1,3,11,26,3
,"Regent Theatre, Reynolds Room, 23 Weld Street",4,9,0,1,15,29,0
,"St Mary's Primary School Hall, 87 Sewell Street",0,1,1,2,8,12,3
,"Westland High School, 140 Hampden Street",0,6,0,2,10,18,1
"Inangahua Junction","Inangahua Junction Hall, State Highway 6, RD1 ",0,2,0,2,2,6,1
"Karamea ","Karamea Area School, 105 Waverley Street",0,2,1,1,2,6,0
"Kumara","Memorial Hall, 56 Seddon Street",0,1,0,2,4,7,0
"Lower Moutere","Lower Moutere School Hall, 8 School Road",0,2,0,2,4,8,1
"Mapua ","Mapua School, 4 Stafford Drive",0,1,0,5,6,12,0
"Marahau","Marahau Fire Station Hall, Sandy Bay-Marahau Road",0,2,0,2,1,5,1
"Motueka","Masonic Centre, 8 Inglis Street",1,0,2,0,8,11,0
,"Motueka South School, 450 High Street",1,2,0,4,7,14,2
,"Motueka Tasman District Council Service Centre, Hickmott Place ",4,8,3,3,11,29,3
,"Parklands School, Technology Building, 9-19 Pah Street",10,24,4,11,49,98,4
"Motupipi  ","Motupipi School, 435 Abel Tasman Drive",0,3,1,0,4,8,0
"Ngakawau ","Ngakawau Domain Hall, Main Road",1,3,0,0,4,8,0
"Ngatimoti ","Ngatimoti School, 4 Greenhill Road, RD1",0,1,0,4,1,6,0
"Paroa","Paroa School, 494 Main South Road",1,3,0,3,5,12,1
"Reefton","Reefton Community Centre, 52-54 Shiel Street",2,4,0,1,1,8,1
"Riwaka","Memorial Hall, 398 Main Road",0,3,0,3,1,7,0
"Ross","Ross School, Moorhouse Street",0,1,1,0,2,4,2
"Runanga","Runanga School Hall, Duncan Street",0,2,2,0,3,7,2
"Takaka","Tasman District Council Office, 78 Commercial Street",0,10,0,2,5,17,0
"Upper Moutere","Upper Moutere School Hall, Main Road",0,2,2,1,4,9,1
"Wakefield","Wakefield School, Edward Street",2,10,2,3,5,22,0
"Westport","St Canice's School, 24a Brougham Street",3,4,0,2,10,19,1
,"Westport Courthouse, 11 Wakefield Street",0,4,1,0,9,14,1
,"Westport North School, 65 Cobden Street",2,3,0,0,10,15,0
,"Westport South School, Derby Street",0,3,1,1,9,14,2
"Whataroa","Whataroa School, 65 Scally Road  ",0,2,0,0,2,4,2
,Wigram
"Addington","Addington School, 22 Brougham Street (Simeon Street entrance)",0,8,3,2,6,19,2
,"Sacred Heart Parish Hall, 70 Spencer Street",3,3,1,3,6,16,1
"Avonhead","Russley School, 75 Cutts Road",1,4,0,4,8,17,0
"Hei Hei","Gilberthorpe School, 163 Gilberthorpes Road",1,8,0,2,5,16,0
,"Kidsfirst Kindergarten, 10 Wycola Avenue",1,6,3,4,12,26,2
,"St Aidans Church, corner Hei Hei & Buchanans Roads",0,6,1,3,17,27,4
"Hillmorton","Hillmorton High School, Tankerville Road",1,2,1,5,4,13,1
"Hoon Hay","Hoon Hay School, 91 Sparks Road",0,12,1,5,7,25,1
,"Manning Intermediate School, 50 Hoon Hay Road",1,5,0,5,4,15,0
,"Rowley Avenue School, 48 Rowley Avenue",4,12,2,4,18,40,1
,"Spreydon School, 2 Halswell Road",1,2,0,2,7,12,1
"Hornby","Branston Intermediate, 35 Amyes Road",4,10,2,4,17,37,3
,"Hornby Community Care Centre, 8 Goulding Avenue",1,5,1,0,3,10,0
,"Hornby Primary School, 190 Waterloo Road",0,9,2,2,11,24,0
,"Sockburn School, 34 Springs Road",3,15,2,6,15,41,2
,"South Hornby School, 52 Shands Road",1,2,3,3,10,19,0
,"St Columba's Church Hall, 452 Main South Road",1,4,1,1,4,11,2
"Middleton","Kidsfirst Kindergarten, 14 Torrens Road",3,1,2,4,6,16,0
"Riccarton","Riccarton Baptist Church, 80 Rattray street",2,0,1,1,8,12,0
,"Riccarton Mall, Riccarton Road (in aisle opposite K Mart)",4,7,4,8,15,38,0
,"Wharenui School, 32 Matipo Street",1,5,0,2,7,15,1
"Russley","St Stephen's Methodist Church, 376 Yaldhurst Road",1,2,0,0,3,6,1
"Sockburn","Montessori Pre School, 108 Racecourse Road",1,5,1,1,3,11,0
,"Riccarton Primary School, English Street",6,4,2,4,8,24,2
"Somerfield","Somerfield School, 42 Studholme Street",1,7,0,3,6,17,1
,"Te Kura-Kaupapa Māori o Te Whanau Tahi, 83 Lyttelton Street",3,9,1,4,3,20,1
"Spreydon","Christchurch South Intermediate, 204 Selwyn Street",1,8,0,8,13,30,1
,"Spreydon Baptist Church, 51 Cobham Street",3,7,0,5,5,20,4
,"St James Presbyterian Hall, corner Barrington & Bewdley Streets",2,4,0,3,5,14,0
,"St Martins Church, Neave Room, 50 Lincoln Road",1,3,2,1,8,15,1
,"West Spreydon School, 147 Lyttelton Street",2,1,2,0,7,12,1
"Upper Riccarton","Middleton Grange School, 50 Acacia Avenue",1,3,1,1,5,11,0
,"Riccarton High School, corner Curletts Road & Vicki Street",0,5,0,1,3,9,3
,"St Thomas of Canterbury College, 69 Middlepark Road",0,2,1,1,6,10,0
"Wigram","Air Force Museum of NZ, 45 Harvard Avenue",0,7,0,4,3,14,0
,"Polling places where less than 6 votes were taken",53,251,32,114,272,722,57
,"Ordinary Votes BEFORE polling day - Taken in Christchurch Central",7,36,5,15,39,102,5
,"Ordinary Votes BEFORE polling day - Taken in Christchurch East",5,49,8,22,40,124,6
,"Ordinary Votes BEFORE polling day - Taken in Clutha-Southland",7,28,11,16,30,92,7
,"Ordinary Votes BEFORE polling day - Taken in Dunedin North",8,16,5,33,32,94,3
,"Ordinary Votes BEFORE polling day - Taken in Dunedin South",4,16,4,6,32,62,9
,"Ordinary Votes BEFORE polling day - Taken in Hutt South",14,43,11,17,39,124,5
,"Ordinary Votes BEFORE polling day - Taken in Ilam",5,28,2,3,15,53,2
,"Ordinary Votes BEFORE polling day - Taken in Invercargill",10,30,7,18,50,115,5
,"Ordinary Votes BEFORE polling day - Taken in Kaikōura",8,35,3,14,42,102,5
,"Ordinary Votes BEFORE polling day - Taken in Nelson",7,28,6,12,27,80,8
,"Ordinary Votes BEFORE polling day - Taken in Ōhariu",5,30,3,3,23,64,1
,"Ordinary Votes BEFORE polling day - Taken in Port Hills",8,36,4,9,39,96,4
,"Ordinary Votes BEFORE polling day - Taken in Rangitata",2,11,7,12,23,55,4
,"Ordinary Votes BEFORE polling day - Taken in Rongotai",25,44,4,16,61,150,7
,"Ordinary Votes BEFORE polling day - Taken in Selwyn",2,17,2,6,21,48,6
,"Ordinary Votes BEFORE polling day - Taken in Waimakariri",2,14,1,9,48,74,5
,"Ordinary Votes BEFORE polling day - Taken in Waitaki",2,15,0,16,18,51,4
,"Ordinary Votes BEFORE polling day - Taken in Wellington Central",21,73,2,28,58,182,2
,"Ordinary Votes BEFORE polling day - Taken in West Coast-Tasman",9,34,5,14,61,123,7
,"Ordinary Votes BEFORE polling day - Taken in Wigram",8,50,7,11,55,131,5
,"Special Votes BEFORE polling day",29,79,12,32,76,228,9
,"Special Votes On polling day",149,490,59,240,469,1407,52
,"Overseas Special Votes including Defence Force",11,35,5,23,41,115,2
,"Te Tai Tonga Total",1360,5311,703,2546,6786,16706,840
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",17546
"Electorate Candidate Valid Votes","Party",,"TIRIKATENE, Rino - majority 1475"
"DEARLOVE, Clinton",Mana,1360,.0814078774
"KĀTENE, Rāhui ",Māori Party,5311,.317909733
"KINGI, Emma-Jane Alice Mihaere",Aotearoa Legalise Cannabis Party,703,.0420806896
"LANGSBURY, Dora Roimata",Green Party,2546,.1524003352
"TIRIKATENE, Rino",Labour Party,6786,.4062013648
