Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Tonga 69","Candidate Vote Details"
,,"KATENE, Rahui Reid","LANGSBURY, Dora Roimata","OKEROA, Mahara","Total Valid Candidate Votes","Informal Candidate Votes"
,"Union Church Hall, 378 Linwood Avenue",22,6,24,52,3
"Lyttelton","Lyttelton Main School Hall, Oxford Street",11,7,20,38,1
"Mt Pleasant","Mt Pleasant Community Centre, 3 McCormacks Bay Road",9,7,2,18,1
,"Mt Pleasant Presbyterian Church, 63 St Andrews Hill Road",2,2,3,7,0
"Opawa","Opawa Baptist Friendship Centre, 282 Wilsons Road",7,2,7,16,0
,"Opawa Community Church Hall, 7a Aynsley Terrace",12,1,8,21,0
,"Opawa School, corner Ford Road & Newbery Street",2,1,6,9,0
"Redcliffs","Redcliffs School, 136 Main Road",8,7,3,18,1
"St Martins","Hillview Christian Senior School, 125 Wilsons Road",12,3,9,24,1
,"Scout Den (opposite Rapaki Road), 297 Centaurus Road",8,3,3,14,1
,"St Martins School, 24 Albert Terrace (opposite Roscoe Street)",6,1,5,12,1
"Sumner","St Pauls Union Church Hall, corner Nayland & Hardwicke Streets",5,8,5,18,0
,"Star of the Sea School Hall, corner Colenso & Menzies Streets",6,4,7,17,2
"Sydenham","St Saviours Anglican Hall, 200 Colombo Street",14,1,11,26,1
,"Sydenham Community Centre, 23-25 Hutcheson Street",7,3,9,19,1
"Waltham","Waltham School, corner Hastings Street East & Vienna Street",32,4,31,67,0
"Woolston","Christchurch Polytechnic - Main Entrance, corner Ensors Road & Sulllivan Avenue",7,2,6,15,0
,"Edmonds-Smith Street Kindergarten, 21 Smith Street",18,3,18,39,1
,"St Johns Church Hall, corner St John's Street & Ferry Road",21,11,30,62,1
,"Woolston School, corner Ferry Road & Hopkins Street",27,8,27,62,2
,Rangitata
"Arowhenua","Arowhenua Maori School, 33 Huirapa Street",14,7,10,31,2
"Ashburton","Allenton School Hall, 110 Harrison Street",13,4,15,32,0
,"Ashburton College Auditorium, 27 Walnut Avenue",9,2,4,15,0
,"Ashburton Intermediate School, 144 Cass Street",13,4,17,34,1
,"Hampstead School, 55 Wellington Street",17,1,10,28,2
,"Sinclair Community Centre, 74 Park Street",6,3,2,11,1
,"St John Rooms,  241 Tancred Street",5,0,4,9,0
,"Tinwald Scout Den, Lagmhor Road",4,0,3,7,0
,"Tinwald St James Presbyterian Church Hall, corner Graham & Thomson Streets",11,0,9,20,1
"Fairton","Fairton School, 14 Fairfield Road",2,1,6,9,0
"Hinds","Hinds School, 54 Reed Street",2,1,4,7,0
"Methven","Mt Hutt College Hall, corner Main & McDonald Streets",5,3,6,14,2
"Milford","Milford Hall, 563 Milford-Clandeboye Road",2,1,3,6,0
"Pleasant Point","Pleasant Point Primary School, Victor Wilson Hall, 33 Halstead Road",6,3,12,21,2
"Rakaia","Rakaia Community Centre, corner Elizabeth Avenue & Mackie Street",6,3,11,20,5
"Temuka","Opihi College, 83 Richard Pearse Drive",8,4,13,25,1
,"Presbyterian Church Complex, corner Hally Terrace & Wilmshurst Road",3,0,9,12,0
,"St John Ambulance Hall, 47 King Street",4,0,8,12,1
,"Temuka Primary School, 9 Hayhurst Street",4,5,5,14,0
"Timaru","Bluestone School, 46 Raymond Street",5,2,6,13,0
,"Caroline Bay Community Lounge, Virtue Avenue",1,2,7,10,0
,"CCS Disability Action, corner North & Victoria Streets",4,0,7,11,0
,"Gleniti School, 22 Heath Street",3,0,3,6,1
,"Grantlea Downs School, 65 Grants Road",3,2,9,14,3
,"Highfield School,  26 Rimu Street",4,0,2,6,0
,"Methodist Church Hall, corner North Street & Woodlands Road",7,2,13,22,0
,"Oceanview Heights School, 241 Selwyn Street",5,1,18,24,0
,"South School, 44 Queen Street",8,0,10,18,0
,"St John's Church Hall, 125 Wai-iti Road",2,2,8,12,2
,"St Mary's Church Hall, 24 Church Street",7,0,6,13,0
,"St Peter's Church Hall, 11 Otipua Road",2,2,4,8,0
,"St Stephen's Church Hall, 349 Wai-iti Road",2,1,2,5,1
,"St Stephen's Church, Washdyke, 271 Hilton Highway",3,1,5,9,0
,"Technology Education Centre (TTEC), corner North Sreet & Grey Road",7,3,14,24,2
,"Timaru Girls High School, corner Hassall & Cain Streets",2,2,5,9,2
,"Trinity West, Presbyterian Church Hall, corner Church Street & Avenue Road",3,1,7,11,0
,"Waimataitai School Hall, 29 Trafalgar Street",9,2,8,19,2
,Rangitikei
"Ratana","Te Kura O Ratana/Ratana School, Kiatere Street",3,1,3,7,0
,Rongotai
"Berhampore","Berhampore School, Room 1, 105 Britomart Street",21,8,14,43,1
,"South Wellington Intermediate School Hall,  Rintoul Street",17,1,13,31,1
,"St Cuthbert's Church Hall, 23 Luxford Street",17,1,12,30,0
"Chatham Islands","Chatham Islands Council Building, Tuku Road, Waitangi",20,9,13,42,6
"Hataitai","Garage, 38 Upoko Road",4,1,1,6,0
,"Hataitai Bowling Club, Upstairs Lounge, 159 Hataitai Road",6,3,3,12,0
,"Hataitai School Hall, Arawa Road",13,2,8,23,0
,"Kilbirnie School Hall, 72 Hamilton Road",14,4,10,28,0
"Houghton Bay","Houghton Valley School, Nikau Room 3, 110 Houghton Bay Road",20,5,8,33,0
"Island Bay","Island Bay Presbyterian Church Lounges, 88 The Parade",26,4,26,56,0
,"Island Bay School Hall,  6 Thames Street",4,3,10,17,0
,"St Hilda's Church Parish Centre, 311 The Parade",23,5,12,40,0
"Kilbirnie","St Patrick's Church Parish Centre, 1 Childers Terrace",34,7,16,57,1
,"St Patrick's College, Staffroom, corner of Evans Bay Parade and Cobham Drive",12,2,8,22,0
"Kingston","Capital Montessori School, Rata Classroom, 14 Camrose Grove",6,2,8,16,0
"Lyall Bay","Lyall Bay School Hall, Freyberg Street",32,8,18,58,1
,"Lyall Bay Surf Club, Lyall Bay Parade",19,2,12,33,1
"Maupuia","Garage, 15 Kaikoura Street",16,0,2,18,1
"Miramar","Holy Cross School Hall, 117 Miramar Avenue",21,3,6,30,0
,"Miramar Baptist Church, 33 Park Road",14,3,9,26,1
,"Miramar Central School Hall, 38 Park Road",37,4,13,54,1
,"Miramar Christian School, Totara Class, 41 Camperdown Road",10,1,3,14,0
,"Miramar Community Centre, 27 Chelsea Street",12,3,10,25,1
,"Miramar South School Hall, 1 Kauri Street",8,0,11,19,0
"Mornington","Ridgway School, Class 1, Mornington Road",16,6,7,29,0
"Newtown","Newtown Park Stadium, Function Room, Roy Street",9,3,9,21,1
,"Newtown School Hall, corner Riddiford & Mein Streets",45,9,28,82,6
,"St James Presbyterian Church Lounge, 235 Adelaide Road",4,1,3,8,0
,"Te Whaea National Dance & Drama Centre, 11 Hutchison Road",11,1,4,16,2
,"Wellington Chinese Baptist Church Hall, 24 Donald McLean Street",24,2,13,39,1
,"Wellington Hospital, Te Ao Marama Training Centre, Riddiford Street (main entrance)",3,0,1,4,3
,"Wellington South Salvation Army Hall, 16-22 Constable Street",19,2,16,37,1
"Owhiro Bay","Owhiro Bay School Hall, 96 Happy Valley Road",13,2,11,26,0
"Rongotai","Rongotai College, Renner Hall, 170 Coutts Street",21,5,25,51,0
"Roseneath","St Barnabas Church Hall, 15 Maida Vale Road",5,3,2,10,0
"Seatoun","St Anthony's School, Senior Block 3, 10 Ludlam Street",6,1,3,10,1
"Strathmore Park","Garage, 20 Ahuriri Street",14,1,5,20,0
,"Strathmore Community School, Room 6 and 7, 108 Strathmore Avenue",36,2,22,60,1
"Worser Bay","Worser Bay School, Middle Area, 168 Seatoun Heights Road",4,1,2,7,0
,Selwyn
"Aidanfield","ABC Development Learning Centre, 50 Kinsella Crescent",5,1,1,7,0
"Akaroa","Akaroa Gaiety Hall, 105 Rue Jolie",4,2,11,17,0
"Burnham","Burnham School Hall, corner Chaytor Avenue & Godley Road",14,2,16,32,2
"Darfield","Darfield High School, McLaughlins Road",7,1,7,15,0
,"Malvern Order of St John, corner Currie Street & North Terrace",5,4,4,13,0
"Dunsandel","Dunsandel Community Hall, corner Dunsandel-Hororata & Browns Roads",1,1,3,5,1
"Glentunnel","Glentunnel School, Homebush Road",5,0,6,11,0
"Governors Bay","Governors Bay School, Jetty Road",4,0,3,7,0
"Halswell","Catholic Church Hall, 56 Nicholls Road",9,2,3,14,2
,"Halswell School Hall, corner Kennedys Bush & School Roads",6,4,7,17,0
,"St Mary's Anglican Church Hall, 329 Halswell Road",6,4,12,22,1
"Hororata","Hororata Primary School Library, 2548 Bealey Road",2,2,5,9,0
"Leeston","Leeston Consolidated School, 3 Selwyn Street",9,1,5,15,0
"Lincoln","Lincoln High School, 134 North Belt",11,1,8,20,1
"Little River","NZ Post Agency, Main Road Akaroa Highway",3,2,3,8,3
"Oaklands","Oaklands School, Cunningham Place",8,1,7,16,0
"Port Levy","Old Port Levy School, Western Valley Road",3,0,2,5,1
"Prebbleton","Prebbleton School, Blakes Road",5,2,6,13,0
"Rolleston","Rolleston Community Centre, 94 Rolleston Drive",29,6,28,63,2
"Southbridge","Southbridge School, 25 Hastings Street",8,3,4,15,1
"Springston","Springston Primary School, 16-20 Leeston Road",1,2,4,7,0
"Tai Tapu","Tai Tapu School, Main Akaroa Highway",6,1,1,8,0
"Templeton","Templeton Primary School, 40 Kirk Road",15,5,18,38,2
"West Melton","West Melton School, corner Weedons-Ross Road & Westview Crescent",3,2,3,8,1
,Waimakariri
"Belfast","Belfast Community Hall, 807 Main North Road",8,0,9,17,0
,"Belfast School, 700 Main North Road",22,2,17,41,0
,"Papanui ACC Office, Northwood Supa Centre, 1 Radcliffe Road",4,0,6,10,0
"Clarkville","Clarkville School, 10 Heywards Road",2,3,3,8,1
"Kaiapoi","Kaiapoi Co-operating Parish, Wesley Centre, 53 Fuller Street",15,7,24,46,3
,"Kaiapoi Community Centre Hall, 24 Sewell Street",20,6,25,51,0
,"Kaiapoi High School Auditorium, Ohoka Road",16,2,25,43,1
,"Kaiapoi North School, 278 Williams Street",19,1,27,47,1
"Marshland","Marshland School, 329 Prestons Road",2,1,5,8,2
"Ohoka","Ohoka School, Jacksons Road",6,2,2,10,0
"Oxford","Jaycee's Room, Main Street",3,2,9,14,0
"Papanui","Casebrook Intermediate, 90 Veitches Road",11,1,6,18,0
"Pines Beach","Public Hall, 7 Dunns Avenue",8,3,4,15,4
"Rangiora","Ashgrove School, 48 Seddon Street",7,3,3,13,0
,"McAlpine Band Room, 8a Good Street",13,0,7,20,0
,"Rangiora Borough School, King Street",4,5,9,18,1
,"Rangiora High School, East Belt",5,1,4,10,0
,"Southbrook School, 26 Marshall Street",10,1,8,19,0
"Redwood","Early Childhood Centre, 339 Main North Road",8,1,5,14,2
,"Northcote School, 26 Tuckers Road",27,2,16,45,3
,"Redwood Play Centre, 40 Dunedin Street",1,2,8,11,0
,"Redwood School, 51 Prestons Road",13,5,15,33,1
,"Scout Hall, 20 Sturrocks Road",6,3,2,11,0
"Tuahiwi","Tuahiwi School, 206 Tuahiwi Road",26,2,26,54,1
"Waikuku","Waikuku School, Main North Road, State Highway 1",4,0,4,8,0
"Waikuku Beach","Waikuku Beach Hall, Park Terrace",8,4,4,16,0
"Woodend","Woodend School, Main North Road",12,7,17,36,0
,Waitaki
"Alexandra","Central Otago Education Centre, 1 Ventry Street",7,3,5,15,0
,"Dunstan High School Hall, 12 Enterprise Street",7,3,7,17,0
,"St Gerard's Parish Hall, Tarbert Street",9,0,6,15,0
"Clyde","Clyde Primary School, 25 Blyth Street",5,1,2,8,0
"Cromwell","Memorial Hall, 36 Melmore Terrace",16,7,15,38,2
"Fairlie","Fairlie Primary School, 21 School Road",2,1,2,5,1
"Geraldine","Geraldine High School, 85 McKenzie Street",2,2,2,6,0
,"Geraldine Primary School, 73 Wilson Street",2,3,4,9,0
"Glenavy","Glenavy School, 15 Ruane Street",7,2,2,11,1
"Hampden","Hampden Primary School, 41-47 Norwich Street",5,1,3,9,0
"Kakanui","Kakanui Primary School, Fyfe Place",7,0,3,10,0
"Lake Hawea","Community Centre, Myra Street",4,2,4,10,0
"Millers Flat","Millers Flat Primary School Library, Main Road",4,0,3,7,0
"Moeraki","Coronation Hall, Haven Street",3,2,6,11,0
"Morven","Morven School, 41 Donald Street",1,1,5,7,1
"Oamaru","Aoraki Polytech, 44 Humber Street",2,1,5,8,0
,"Eveline Church Hall, Thames Highway",5,0,8,13,1
,"Fenwick School, 25a Arun Street",9,4,11,24,1
,"Garrison Band Hall, 10 Severn Street",6,2,5,13,0
,"I D E A Services Centre, 14 Sandringham Street",1,1,8,10,0
,"North School, Torridge Street",7,0,10,17,1
,"Pembroke School, Harlech Street",8,0,6,14,0
,"Waitaki Girls' High School, Thames Street",1,1,7,9,0
"Omarama","Omarama School, State Highway 8",3,1,2,6,1
"Palmerston","Community Centre, Ronaldsay Street",1,0,16,17,2
"Pareora","Pareora Campus School, corner Elworthy & Davidson Streets",3,1,3,7,0
"Ranfurly","Maniototo Community Library, 15 Caulfield Street",6,0,6,12,0
"Roxburgh","Roxburgh Area School Library, Scotland Street",9,4,4,17,1
"Twizel","Twizel Area School, Mt Cook Street",3,7,9,19,0
"Waimate","Waimate Main School, John Street",4,4,4,12,0
,"Waimate Silver Band Hall, 135 High Street",4,2,2,8,0
"Wanaka","Lake Wanaka Centre, 89 Ardmore Street",10,2,7,19,0
,"Mt Aspiring College Gymnasium, Plantation Road",5,3,6,14,0
,"Wanaka Primary School, 71 Tenby Street",5,2,5,12,1
"Weston","Weston Primary School, 1 Charles Street",2,1,7,10,0
,Wellington Central
"Brooklyn","Brooklyn Community Centre, 18 Harrison Street",30,5,14,49,0
,"Brooklyn School, 58 Washington Avenue",12,2,3,17,0
"Karori","Karori Baptist Church, 161-163 Karori Road",9,3,5,17,0
,"Karori Normal School, Donald Street",12,2,7,21,0
,"Karori Playcentre, 64 Campbell Street ",5,2,7,14,0
,"Karori West School, Allington Road",21,3,12,36,1
,"Karori West Scout Hall, 21 Sunshine Avenue",9,1,5,15,2
,"St Teresa's Parish Hall, 301 Karori Road",10,1,8,19,0
"Kelburn","Kelburn Normal School, 16 Kowhai Road",8,5,3,16,0
,"St Michael's and All Angels Parish Hall, 83 Upland Road",11,4,2,17,0
"Makara","Makara Model School, 399 Makara Road",4,0,5,9,0
"Mt Cook","St Paul's Lutheran Church, 12 King Street",12,2,2,16,0
"Mt Victoria","Clyde Quay School, 27 Elizabeth Street",27,7,25,59,0
,"St Joseph's Church, Bill Pearce Room, 150 Brougham Street",9,2,5,16,0
"Northland","Northland School, 14 Harbour View Road",5,1,3,9,0
,"St Anne@Ward Church Hall, 69 Northland Road",7,0,6,13,0
"Oriental Bay","Overseas Terminal, 1 Herd Street (off Oriental Parade)",10,1,10,21,0
"Thorndon","St Mary's College, Guilford Terrace",5,0,2,7,1
,"Thorndon School, 19b Hobson Crescent",22,1,16,39,0
,"Wellington Bridge Club, 17 Tinakori Road",12,2,5,19,1
"Wadestown","St Luke's Centre, 32 Pitt Street",7,3,5,15,0
,"Wadestown School, 2 Rose Street",1,2,3,6,0
"Wellington City","Aro Valley Community Centre, 48 Aro Street",27,9,24,60,0
,"Equippers Church, 39 Webb Street",24,5,26,55,4
,"Michael Fowler Centre, Renouf Foyer, Level 1, 111 Wakefield Street",41,6,33,80,1
,"Mount Cook Primary School, 160 Tory Street",14,2,10,26,0
,"St Andrew's Church Hall, 30 The Terrace",7,2,6,15,0
,"St John's Church Conference Centre, corner Dixon & Willis Streets",31,6,13,50,1
,"Te Aro School, 360 The Terrace",4,4,3,11,1
,"Wellington High School, 249 Taranaki Street",25,1,14,40,1
,"Wesley Church New Hall, 75 Taranaki Street",8,3,9,20,2
"Wilton","Otari School, 166 Wilton Road",16,0,7,23,2
,West Coast-Tasman
"Appleby","Appleby School, Moutere Highway",2,0,4,6,0
"Arahura","Arahura Whare Wananga, State Highway 6",14,1,17,32,2
"Carters Beach","Carters Beach Hall, Marine Parade",2,1,6,9,0
"Cobden","Cobden School, Fox Street",17,3,10,30,1
"Franz Josef","Franz Josef Community Centre, Main Road State Highway 6",2,0,5,7,0
"Granity","Granity School, 83 Torea Street",2,0,4,6,0
"Greymouth","Blaketown School, 90 Blake Street",4,1,1,6,0
,"Grey Main School, Joyce Crescent",4,0,2,6,1
,"Grey United Tennis Club, Shakespeare Street",4,2,7,13,1
,"Karoro Learning Centre, 180 Tainui Street",8,1,3,12,0
,"Regent Theatre, corner MacKay & Herbert Streets",6,3,4,13,1
"Haast","Haast Rescue Centre, Pauareka Road",5,1,2,8,2
"Hari Hari","Sth Westland Area School, Wanganui Flat Road",6,0,2,8,0
"Hector","Ngakawau Domain Hall, Main Road",2,3,8,13,0
"Hokitika","Church of Christ Hall, corner Sale & Stafford Streets",17,2,10,29,0
,"Regent Theatre, Reynolds  Room, Tancred Street",15,6,21,42,1
,"St Mary's Primary School, Sewell Street",8,3,4,15,0
,"Westland High School, Sale Street",6,0,9,15,1
"Ikamatua","Ikamatua Hall, State Highway 7",5,0,2,7,1
"Lower Moutere","Lower Moutere School, School Road",8,1,1,10,1
"Mapua","Mapua School, 4 Stafford Drive",5,1,4,10,1
"Marahau","Marahau Fire Station Hall, Sandy Bay-Marahau Road",1,3,4,8,0
"Moana","Lake Brunner School, Ahau Street",1,2,3,6,0
"Motueka","Motueka South School, 450 High Street",16,6,9,31,0
,"Parklands School, Technology Building, 9-19 Pah Street",43,13,47,103,3
,"Salvation Army Hall, 6 Greenwood Street",17,9,12,38,1
"Murchison","Murchison Area School, Waller Street",5,0,1,6,1
"Paroa","Paroa School, 494 Main South Road",6,1,5,12,0
"Reefton","Reefton Community Centre, Shield Street",2,0,6,8,0
"Riwaka","Riwaka School,  22 School Road",0,1,8,9,1
"Ross","Ross School, Moorhouse Street",3,3,6,12,1
"Runanga","Runanga School, McGowan Street",4,1,6,11,0
"Seddonville","Seddonville Holiday Park, Gladstone Road",4,5,1,10,1
"Takaka","Golden Bay High School, 12 Waitapu Road",3,1,4,8,0
,"Tasman District Council Office, 78 Commercial Street",7,1,7,15,0
"Tapawera","Tapawera Area School, Main Road",2,1,3,6,0
"Umukuri","Brooklyn School, Umukuri Road",4,1,2,7,0
"Upper Moutere","Upper Moutere School, Main Road",1,2,3,6,1
"Wakefield","Wakefield School, Edward Street",9,3,10,22,2
"Westport","IHC Buller Branch, 149 Derby Street",4,0,5,9,1
,"St Canice's School, corner Brougham & Derby Streets",2,0,6,8,1
,"Westport Courthouse, Wakefield Street",9,2,11,22,0
,"Westport North School, Cobden Street",5,1,6,12,0
,"Westport South School, Derby Street",6,1,4,11,0
"Whataroa","Whataroa Courthouse, Main Road",3,1,1,5,2
,Wigram
"Addington","Addington School, 22 Brougham Street",12,5,14,31,2
,"Sacred Heart Parish Library, 40 Spencer Street",11,2,14,27,0
"Hei Hei","Gilberthorpe School, 163 Gilberthorpes Road",11,0,5,16,1
,"Kids First Kindergarten, Wycola Avenue",21,3,18,42,0
,"St Aidan's Church Hall, 173 Buchanans Road",24,1,24,49,1
"Hillmorton","Kids First Kindergarten, 14 Torrens Road",7,0,4,11,0
,"Rowley School, 48 Rowley Avenue",22,4,28,54,3
,"Spreydon School, 2 Halswell Road",11,2,6,19,1
"Hoon Hay","Hillmorton High School, Recreation Hall, Tankerville Road",4,0,6,10,0
,"Hoon Hay School Library, 91 Sparks Road",12,3,10,25,1
,"Manning Intermediate, 50 Hoon Hay Road",5,3,5,13,1
"Hornby","Branston Intermediate, 35 Amyes Road",18,5,26,49,0
,"Garage, 66 Blankney Street",5,3,2,10,0
,"Hornby Library, Goulding Avenue",13,0,10,23,0
,"Hornby School, Te Puna Centre, 190 Waterloo Road",11,1,11,23,1
,"South Hornby School, Shands Road",3,2,14,19,2
,"St Columba's Church Hall, 452 Main South Road",6,2,10,18,2
"Riccarton","Christchurch Family Baptist Hall, 5 Centennial Avenue",5,1,5,11,1
,"NZ Blood Donor Service, 87 Riccarton Road",12,3,7,22,1
,"Wharenui School, 32 Matipo Street",11,2,14,27,0
"Russley","Russley School, 75 Cutts Road",10,2,7,19,1
,"St Stephen's Methodist Church, 376 Yaldhurst Road",4,0,6,10,0
"Sockburn","Portacom Building Solutions, 65 Buchanans Road",5,0,5,10,0
,"Sockburn School, 34 Springs Road",20,3,33,56,0
,"Sockburn Service Centre, 149 Main South Road",8,1,4,13,0
"Somerfield","Cashmere High School, Rose Street",5,2,3,10,0
,"Somerfield School, 42 Studholme Street",12,6,13,31,0
"Spreydon","Christchurch South Intermediate, 204 Selwyn Street",17,8,16,41,0
,"Spreydon Baptist Church, 51 Cobham Street",9,4,12,25,2
,"St James Presbyterian Hall, corner Barrington & Bewdley Streets",6,5,7,18,2
,"St Martins Church, Neave Room, 50 Lincoln Road",4,2,5,11,0
,"St Nicholas Church Hall, 231 Barrington Street",7,2,8,17,0
,"Te Kura Kaupapa Maori O Te Whanau Tahi, 81 Lyttelton Street",23,1,6,30,0
,"West Spreydon School Llibrary, 147 Lyttelton Street",14,1,6,21,0
"Upper Riccarton","Middleton Grange School, 50 Acacia Avenue",9,2,4,15,0
,"Riccarton High School, corner Curletts Road & Vicki Street",7,1,6,14,0
,"Riccarton Primary School, corner Main South Road & English Street",6,3,4,13,0
,"St Thomas of Canterbury College, 69 Middlepark Road",7,1,3,11,0
,"Polling places where less than 6 votes were taken",342,72,231,645,44
,"Hospital Votes",31,8,37,76,6
,"Ordinary Votes BEFORE polling day",667,135,564,1366,56
,"Special Votes BEFORE polling day",141,33,87,261,9
,"Special Votes On polling day",762,172,522,1456,31
,"Overseas Special Votes including defence force",84,21,75,180,4
,"Te Tai Tonga Total",9011,2076,7962,19049,656
,,,,"Valid Candidate Votes plus Informal Candidate Votes",19705
"Electorate Candidate Valid Votes","Party",,"KATENE, Rahui Reid - majority 1049"
"KATENE, Rahui Reid",Maori Party,9011,.4730432044
"LANGSBURY, Dora Roimata",Green Party,2076,.1089820988
"OKEROA, Mahara",Labour Party,7962,.4179746968
