Electorate Candidate Votes Recorded at Each Voting Place
"Te Tai Tonga 70","Candidate Vote Details"
,,"BEYER, Georgina","BUTTON, Ngaire Lorraine","KINGI, Emma-Jane Mihaere","LANGSBURY, Dora Roimata","SAWYERS, Jason Paul","TIRIKATENE, Rino","Total Valid Candidate Votes","Informal Candidate Votes"
,"Nightingale Memorial Library, 2 Beach Road",0,5,1,1,1,4,12,0
,"Tahunanui School, 69 Muritai Street",5,8,4,6,0,22,45,2
,Ōhāriu
"Churton Park","Amesbury School Hall, 48 Amesbury Drive",0,7,0,2,0,1,10,1
,"Churton Park School Hall, 90 Churton Drive",1,3,0,0,0,2,6,0
"Crofton Downs","Crofton Downs Primary School Hall, 1 Chartwell Drive",0,3,0,1,0,4,8,0
"Johnsonville","Broderick Road Chapel, 17 Broderick Road",3,11,2,4,0,19,39,0
,"Johnsonville School Hall, 8 Morgan Street",5,12,0,5,0,15,37,0
,"Onslow College Hall, Burma Road",5,17,0,4,1,17,44,0
,"West Park School Hall, 97 Broderick Road",2,4,0,2,0,7,15,0
"Khandallah","Cashmere Avenue School Hall, 110 Cashmere Avenue",2,6,0,2,1,10,21,1
,"Onslow Community Church, 4 Ngatoto Street",2,7,0,0,0,1,10,0
,"Presbyterian Church Hall, 33 Ganges Road",1,6,0,4,0,4,15,1
"Newlands","Bellevue School Hall, 12 Bancroft Terrace",3,17,4,1,0,9,34,0
,"Newlands School Hall, 200 Newlands Road",8,7,2,5,0,13,35,0
,"Newlands-Paparangi Tennis Club, 26 Black Rock Road",3,2,1,4,0,4,14,0
,"Ngā Hau e Whā o Paparārangi, 30 Ladbrooke Drive",1,13,1,2,0,8,25,0
,"Rewa Rewa School Hall, 18 Padnell Crescent",2,9,1,3,1,9,25,0
"Ngaio","Ngaio Town Hall, 1 Ottawa Road",3,5,0,2,0,11,21,0
"Paparangi","Paparangi School Hall, 59 Beazley Avenue",2,17,2,5,0,9,35,1
"Wadestown","St Luke's Centre, 34 Pitt Street (corner Wadestown Road)",2,11,0,1,0,4,18,0
,Port Hills
"Cashmere","Cashmere Primary School, 135 Hackthorne Road",0,3,0,5,0,0,8,0
,"Landsdowne Community Centre, 4 Landsdowne Terrace",2,1,1,0,0,2,6,0
,"The Princess Margaret Hospital, 97 Cashmere Road (Riley Day Hospital, Entrance 4)",1,2,0,0,1,3,7,0
"Cass Bay","TS Godley (former Navy League), 64 Governors Bay Road",0,3,0,0,0,2,5,1
"Halswell","Aidanfield Christian School, 2 Nash Road",0,4,1,2,0,3,10,0
,"Halswell School, corner Kennedys Bush & School Roads",0,3,0,1,0,4,8,0
,"Oaklands School, 37 Cunningham Place",2,8,1,4,0,8,23,1
,"Saints Peter & Paul Catholic Church Hall, 56 Nicholls Road",2,5,0,2,0,5,14,0
,"St Mary's Anglican Church Hall, 329 Halswell Road",2,13,0,3,0,7,25,1
"Heathcote Valley","Heathcote Valley School, 61 Bridle Path Road",2,3,3,1,1,7,17,2
"Hoon Hay","Cashmere Early Learning Centre, 192 Cashmere Road",0,5,1,1,0,1,8,0
"Huntsbury","Huntsbury Community Centre, 30H Huntsbury Avenue",2,2,0,2,0,4,10,0
"Linwood","Linwood Avenue School, 260 Linwood Avenue",3,13,2,10,1,36,65,2
,"Union Church Hall, 378 Linwood Avenue, corner Tilford Street",3,8,4,6,1,20,42,1
"Lower Cashmere","Thorrington School, 22A Colombo Street",0,4,0,4,0,4,12,0
"Lyttelton","Lyttelton Primary School (former St Joseph's School & Church), 18 Winchester Street",2,2,0,1,0,3,8,0
,"Lyttelton Primary School (Hill Site), 41 Voelas Road",0,0,0,1,0,5,6,0
,"Port Hills Uniting Parish, 40 Winchester Street",0,3,3,2,0,10,18,0
"Mount Pleasant","Mount Pleasant Community Centre, 3 Mccormacks Bay Road",0,5,0,1,0,1,7,0
,"Mt Pleasant School, 82 Major Hornbrook Road",0,5,0,2,0,2,9,0
"Redcliffs","St Andrew's Anglican Church, 148 Main Road",1,5,0,3,0,3,12,0
"Somerfield","Cashmere High School, 172 Rose Street",0,2,0,1,0,4,7,0
,"Pioneer Recreation and Sport Centre Lounge, 1st floor, 75 Lyttelton Street",1,9,0,3,0,6,19,0
,"Somerfield School, 42 Studholme Street",2,0,2,1,0,9,14,0
"St Martins","Hillview Christian Junior School, 150 Wilsons Road",0,5,0,5,0,8,18,0
,"St Martins School, 24 Albert Terrace (opposite Roscoe Street)",1,4,2,3,0,8,18,0
"Sumner","Sumner School, 21 Colenso Street (Dryden Street West entrance)",0,4,0,10,0,4,18,3
"Woolston","Bamford School, 8 Gould Crescent",2,1,1,0,0,5,9,0
,"CPIT, Student Services Building, corner Ensors Road & Sulllivan Avenue",0,3,1,1,0,7,12,2
,"Edmonds Smith Street Kindergarten, 21 Smith Street",1,5,1,5,0,8,20,1
,"St John's Church Hall, corner St Johns Street & Ferry Road",3,9,0,10,1,22,45,4
,"Woolston School, corner Ferry Road & Hopkins Street",1,9,1,5,2,28,46,1
,Rangitata
"Arowhenua","Arowhenua Maori School, 33 Huirapa Street",2,3,1,2,1,10,19,1
"Ashburton","Allenton School Hall, 110 Harrison Street",2,6,3,4,0,13,28,0
,"Ashburton Intermediate School, 144 Cass Street",8,8,5,3,1,11,36,2
,"Hampstead School, 55 Wellington Street",3,3,3,0,0,14,23,4
,"New Life Church, 58 Melcombe Street, Tinwald",1,0,0,0,1,6,8,0
,"Sinclair Community Centre, 74 Park Street",3,5,0,2,0,6,16,2
,"Tinwald War Memorial Hall, corner Graham & McMurdo Streets",2,4,2,1,0,4,13,0
,"Walnut Ave Pavillion, 66 Walnut Avenue",1,1,1,3,0,3,9,1
"Clandeboye","Clandeboye Old School, 1 Kotuku Place",0,0,0,2,0,4,6,0
"Fairton","Fairton School, 14 Fairfield Road",0,1,2,1,0,7,11,0
"Hinds","Hinds School, 54 Reed Street",0,3,0,0,0,2,5,1
"Methven","Mt Hutt College Hall, corner Main & McDonald Streets",0,3,0,3,0,7,13,0
"Pleasant Point","Pleasant Point Primary School, Victor Wilson Hall, 33 Halstead Road",0,1,2,0,1,6,10,0
"Seadown","Seadown Hall, 729 Seadown Road",0,0,0,3,0,5,8,0
"Temuka","Opihi College, 83 Richard Pearse Drive",1,4,3,1,0,4,13,2
,"Presbyterian Church Complex, corner Hally Terrace & Wilmshurst Road",1,5,0,0,0,9,15,0
,"Temuka Primary School, 9 Hayhurst Street",4,3,2,0,0,8,17,0
"Timaru","Bluestone School, 46 Raymond Street",1,1,0,2,0,13,17,0
,"Church Street Bible Chapel, 213 Church Street (corner Avenue Road)",2,4,0,2,0,4,12,2
,"Elim Christian Centre, 7 Elizabeth Place",0,4,2,3,0,7,16,0
,"Grantlea Downs School, 65 Grants Road",1,3,3,3,0,8,18,2
,"Highfield School, 26 Rimu Street",0,1,0,0,0,5,6,0
,"Methodist Church Hall, corner North Street & Woodlands Road",1,5,2,2,0,6,16,0
,"Mountainview High School, 67-141 Pages Road",0,2,2,3,0,3,10,0
,"Roncalli College, 19 Wellington Street",1,2,1,2,0,8,14,0
,"Salvation Army Hall, corner 206 Wai-iti & Otipua Roads",0,4,0,3,0,4,11,1
,"South School, 44 Queen Street",0,10,0,2,1,10,23,3
,"Timaru Girls High School, corner Hassall & Cain Streets",0,4,3,1,0,7,15,1
,"Waimataitai School Hall, 29 Trafalgar Street",1,7,1,3,0,11,23,0
,"Washdyke Community and Sports Centre, Sir Basil Arthur Park, 92 Pleasant Point Highway",0,0,1,5,0,2,8,1
"Winchester","Winchester Rural School, 14 Rise Road",0,1,0,3,0,2,6,0
,Rimutaka
"Naenae","Naenae Primary School, 18 Wheatley Street ",0,2,2,0,1,7,12,0
,Rongotai
"Berhampore","Berhampore School Room One, 105 Britomart Street ",1,4,0,6,0,12,23,1
,"South Wellington Intermediate School Mini Hall, 165 Rintoul Street",3,4,1,4,0,9,21,0
"Breaker Bay","Breaker Bay Hall, 150 Breaker Bay Road",2,1,0,2,0,1,6,0
"Chatham Islands","Chatham Islands Council Building, 9 Tuku Road, Waitangi",2,14,3,1,0,8,28,2
"Hataitai","Hataitai School Hall, corner Arawa, Hataitai & Hohiria Roads",2,4,0,3,0,4,13,0
,"Kilbirnie School Hall, 72 Hamilton Road",1,2,1,6,0,10,20,0
"Houghton Bay","Houghton Valley School Hall, 110 Houghton Bay Road",0,2,0,6,0,2,10,0
"Island Bay","Island Bay Presbyterian Church Lounges, 88 The Parade",3,8,0,9,0,9,29,0
,"Island Bay School Hall, 6 Thames Street",1,2,0,2,0,4,9,0
,"St Hilda's Church Parish Centre, 311 The Parade",0,6,2,6,0,16,30,0
,"Wellington South Baptist Church, 284 The Parade",1,3,0,2,0,4,10,0
"Kilbirnie","Evans Bay Intermediate School Hall, 14 Kemp Street",3,3,1,3,0,8,18,0
,"St Patrick's College School Hall, corner Evans Bay Parade & Cobham Drive",2,6,0,1,0,7,16,1
"Kingston","Capital Montessori School, Rata Classroom, 14 Camrose Grove",1,4,0,2,0,2,9,0
"Lyall Bay","Lyall Bay School Hall, 40-46 Freyberg Street",10,10,1,5,0,20,46,0
,"Lyall Bay Surf Club, Lyall Bay Parade (opposite 88 Lyall Bay Parade)",6,4,0,5,0,17,32,0
"Maupuia","Garage, 15 Kaikoura Street",0,5,2,0,0,9,16,1
"Miramar","Gateway Baptist Church, 33 Park Road",1,4,1,5,0,8,19,1
,"Miramar Central School Hall, 38 Park Road",3,4,0,7,0,12,26,0
,"Miramar Christian School, Kowhai Class, 41 Camperdown Road",1,0,0,2,0,6,9,0
,"Miramar Community Centre, 23 Chelsea Street",3,10,0,1,0,22,36,2
,"Miramar Playcentre, 23 Crawford Green",1,2,0,0,0,1,4,5
"Mornington","Ridgway School Hall, 120 Mornington Road",2,4,0,2,0,9,17,0
"Newtown","Newtown Park Stadium, Function Room, Daniell Street or Mansfield Street entrances",2,0,4,2,0,6,14,0
,"Newtown School Hall, corner Riddiford & Mein Streets",8,9,1,8,0,23,49,1
,"Salvation Army Hall, 16-22 Constable Street",4,6,2,6,0,18,36,0
,"Te Whaea New Zealand School of Dance, 11 Hutchison Road",1,3,0,0,0,5,9,0
,"Wellington Chinese Baptist Church Hall, 24 Donald McLean Street",4,7,1,4,0,7,23,0
,"Wellington Pipe Band Hall, corner Stoke & Hanson Streets",2,3,0,5,1,9,20,0
"Owhiro Bay","Owhiro Bay School Hall, 96 Happy Valley Road",3,3,3,4,0,12,25,0
"Rongotai","Rongotai College, Renner Hall, 170 Coutts Street",8,9,2,10,0,23,52,2
"Seatoun","Seatoun School Hall, 59 Burnham Street",0,4,0,1,0,3,8,0
,"St Christopher's Church Hall, 26A Forres Street",4,3,0,1,0,3,11,0
"Strathmore Park","Kahurangi School Hall, 43 Strathmore Avenue",8,8,2,8,0,22,48,0
"Worser Bay","Worser Bay School, Middle Area, 168 Seatoun Heights Road",0,5,0,2,0,2,9,0
,Selwyn
"Akaroa","Akaroa Area School Gymnasium, 141 Rue Jolie (Selwyn Avenue entrance)",0,4,1,5,0,13,23,1
"Burnham","Burnham School, Hall, corner Chaytor Avenue & Godley Road",1,7,2,6,0,9,25,1
"Darfield","Darfield High School, 7 McLaughlins Road",0,4,0,0,0,2,6,0
,"Darfield Service Centre, 1 South Terrace",1,4,0,2,0,8,15,1
"Governors Bay","Governors Bay School Library, 1 Jetty Road",0,2,0,4,0,1,7,0
"Irwell","Irwell Hall, corner Leeston & Selwyn Lake Roads",0,2,1,1,0,3,7,0
"Kirwee","Kirwee Model School, 34 School Lane",1,1,0,0,0,3,5,1
"Ladbrooks","Ladbrooks Hall, Barnes Road",1,4,0,1,0,2,8,0
"Leeston","Leeston Consolidated School, 3 Selwyn Street",3,7,1,4,0,7,22,0
"Lincoln","Lincoln High School, 134 North Belt",3,8,0,4,0,2,17,0
"Little River","Little River Community Centre, 42 Western Valley Road",1,2,0,1,0,5,9,2
"Port Levy","Old Port Levy School, Western Valley Road",0,1,0,0,0,5,6,0
"Prebbleton","Prebbleton School, Blakes Road",3,6,0,1,0,6,16,0
"Rakaia","Rakaia Community Centre, corner Elizabeth Avenue & Mackie Street",1,10,4,2,0,11,28,0
"Rolleston","Clearview Primary, 20 Broadlands Drive",0,9,0,4,0,8,21,1
,"Selwyn District Council, 2 Norman Kirk Drive",8,28,4,8,1,17,66,3
"Sheffield","Sheffield School Library, Wrights Road",1,1,0,0,0,4,6,0
"Southbridge","Southbridge School, 25 Hastings Street",2,2,0,5,1,5,15,0
"Springfield","Tawera Memorial Hall, Main West Coast Road",0,3,0,1,0,3,7,1
"Springston","Springston Primary School Library, 16-20 Leeston Road",1,2,0,0,0,4,7,0
"Tai Tapu","Tai Tapu School, corner School Road & Main Akaroa Highway",0,4,1,2,0,8,15,0
"Templeton","Templeton Primary School, 40 Kirk Road",1,11,2,5,0,12,31,1
"West Melton","West Melton School, corner Weedons-Ross Road & Westview Crescent",2,6,0,0,0,2,10,1
"Yaldhurst","Yaldhurst Model School, 48 School Road",0,8,0,1,0,1,10,0
,Waimakariri
"Belfast","Belfast Salvation Army, 794 Main North Road",1,7,1,1,0,5,15,1
,"Belfast School, 700 Main North Road",3,8,0,2,0,15,28,2
"Clarkville","Clarkville School, 10 Heywards Road",1,4,1,2,0,4,12,0
"Kaiapoi","Kaiapoi Co-operating Parish, Wesley Centre, 53 Fuller Street",0,9,4,5,0,27,45,1
,"Kaiapoi High School Auditorium,  101 Ohoka Road",1,7,5,1,2,17,33,2
,"Kaiapoi North School, 278 Williams Street",4,8,4,4,0,24,44,1
"Ohoka","Ohoka School, 261 Jacksons Road",0,4,0,4,0,0,8,0
"Oxford","Jaycee's Room, 56 Main Street",0,2,2,2,0,6,12,2
"Papanui","Casebrook Intermediate, 90 Veitches Road",0,15,2,2,0,10,29,0
"Pegasus","Pegasus Bay School, 5 Solander Road",0,2,1,1,1,5,10,0
"Rangiora","Ashgrove School, 48 Seddon Street",0,3,0,1,0,3,7,0
,"McAlpine Band Hall, 8a Good Street (in New World carpark)",2,9,1,6,0,14,32,0
,"Rangiora Borough School, 157 King Street",0,10,1,5,0,16,32,0
,"Rangiora High School, 125 East Belt (entry off Wales Street)",1,3,0,0,0,3,7,0
,"Rangiora New Life School, 2 Denchs Road",0,10,0,3,0,4,17,1
"Tuahiwi","Tuahiwi School, 206 Tuahiwi Road",1,11,1,6,0,17,36,0
"Waikuku Beach","Waikuku Beach Hall, corner Park Terrace & Domain Road",6,4,0,2,0,5,17,1
"West Eyreton","West Eyreton School, 1650 North Eyre Road",0,3,0,1,0,5,9,0
"Woodend","Woodend School, Main North Road",1,12,3,3,0,15,34,1
,Waitaki
"Alexandra","Central Otago Education Centre, 1 Ventry Street",0,5,0,2,0,4,11,2
,"Dunstan High School Hall, 12 Enterprise Street",2,2,0,2,1,0,7,0
,"St Gerard's Parish Hall, 2 Station Street (Tarbert Street entrance)",3,3,0,1,0,3,10,0
"Clyde","Primary School Hall, 25 Blyth Street",0,1,0,1,0,4,6,0
"Cromwell","Memorial Hall, 36 Melmore Terrace",0,8,1,4,0,7,20,0
"Fairlie","Fairlie Primary School, 21 School Road",0,4,1,1,0,2,8,1
"Geraldine","Geraldine Primary School, 73 Wilson Street",1,4,3,4,0,8,20,0
"Glenavy","Glenavy School, 15 Ruane Street",1,2,1,0,0,5,9,0
"Kakanui","Kakanui Primary School, 5 Fyfe Place",0,1,0,3,0,2,6,0
"Kurow","Memorial Hall, 49 Gordon Street",0,2,0,2,0,2,6,0
"Luggate","Luggate Hall, State Highway 6",0,1,2,2,0,0,5,2
"Morven","Morven School, 41 Donald Street",1,2,0,2,0,3,8,0
"Oamaru","Eveline Church Hall, 424a Thames Highway",2,8,0,1,0,7,18,0
,"Fenwick School Hall, 25a Arun Street, (Hull Street entrance)",3,7,3,4,1,8,26,1
,"North School, 40 Torridge Street",2,2,2,2,0,2,10,0
,"Pembroke School, Harlech Street",0,5,2,1,2,8,18,0
,"Waitaki Girls' High School, 270 Thames Street",1,3,1,2,0,3,10,1
"Omakau","Primary School, 9 Deaker Street",2,1,0,0,0,2,5,1
"Omarama","Omarama School, Omarama Avenue",0,1,0,1,0,4,6,0
"Ranfurly","Maniototo Community Library, 15 Caulfeild Street",3,2,2,1,0,3,11,0
"Roxburgh","Roxburgh Area School Library, 78 Scotland Street",2,8,1,2,0,6,19,0
"St Andrews","St Andrews School, 21 Bluecliffs Road",0,4,0,1,0,1,6,0
"Twizel","Twizel Area School, Mt Cook Street",0,2,0,1,0,9,12,2
"Waiareka","Oamaru Farmers' Saleyards Building, 31-39 Weston Road",1,4,1,1,1,7,15,0
"Waimate","Silver Band Hall, 135 High Street",0,2,0,2,0,3,7,0
,"Waimate Main School Hall, 29 John Street",2,8,1,2,0,7,20,2
"Wanaka","Presbyterian Community Church Centre, 94-96 Tenby Street",0,4,0,4,1,0,9,0
,"Wanaka Primary School Hall, 7 Ironside Drive",0,6,1,5,0,2,14,0
"Weston","Weston Primary School, 1 Charles Street",0,1,0,0,0,6,7,1
,Wellington Central
"Brooklyn","Brooklyn Community Centre, 18 Harrison Street",3,7,0,8,0,9,27,0
,"Brooklyn School Hall, 58 Washington Avenue",1,3,0,0,0,4,8,0
"Karori","Karori Baptist Church, 161-163 Karori Road",0,5,0,4,0,2,11,0
,"Karori Normal School, 2 Donald Street",3,2,1,2,0,10,18,0
,"Karori Playcentre, 64 Campbell Street",0,2,0,3,0,2,7,0
,"Karori West Normal School Hall, 7-21 Allington Road",6,2,0,2,0,14,24,0
,"St Teresa's Parish Hall, 301 Karori Road",1,3,1,2,0,2,9,0
,"Sunshine Kindergarten, 21a Sunshine Avenue",2,4,2,2,0,2,12,0
"Kelburn","Kelburn Normal School, 16 Kowhai Road",1,4,0,2,0,6,13,0
,"St Michael's and All Angels Parish Hall, 83 Upland Road",1,2,0,3,0,1,7,1
"Mt Cook","Davidic Centre, 2nd floor, 28-30 Hopper Street",0,1,1,0,0,6,8,3
,"Mount Cook Primary School, 160 Tory Street",1,6,0,7,0,9,23,0
,"Wellington High School, 249 Taranaki Street",2,7,2,6,0,13,30,1
"Mt Victoria","Clyde Quay School Hall, 27 Elizabeth Street",3,10,1,6,0,16,36,0
,"St Joseph's Church, Bill Pearce Room, 150 Brougham Street",2,4,0,2,0,3,11,0
"Northland","Northland School, 14 Harbour View Road",1,1,1,3,0,2,8,0
,"St Anne's Church Hall, corner Northland & Randwick Roads",2,3,0,2,0,5,12,0
"Thorndon","St Mary's College, de Porres House, 15 Guildford Terrace",1,3,0,1,0,5,10,0
,"Thorndon School Hall, 20 Turnbull Street or 26 Murphy Street",3,7,0,2,0,8,20,0
,"Wellington Bridge Club, 17 Tinakori Road",2,3,1,2,0,8,16,0
"Wellington City","Aro Valley Community Centre, 48 Aro Street",9,8,2,6,0,12,37,0
,"Central Park Flats Community Room, 21 Brooklyn Road",1,5,1,2,0,9,18,0
,"Chaffers Dock Atrium, 18 Herd Street",1,4,0,5,0,5,15,0
,"Michael Fowler Centre, Renouf Foyer, 111 Wakefield Street",3,12,0,13,0,9,37,0
,"St Andrew's Church Hall, 30 The Terrace",2,1,1,3,0,2,9,0
,"St John's Church Conference Centre, corner Dixon & Willis Streets",4,9,0,3,0,9,25,0
,"Wellington Central Library Meeting Room, Mezzanine Floor, 65 Victoria Street",7,15,1,7,0,11,41,0
"Wilton","Otari School Hall, 166 Wilton Road",0,1,0,2,0,4,7,0
,West Coast-Tasman
"Appleby ","Appleby School, 19 Moutere Highway",0,1,0,1,0,5,7,0
"Arahura","Te Tari O Te Runanga O Ngati Waewae, 1 Old Christchurch Road ",3,4,0,2,0,13,22,0
"Blackball ","Blackball Fire Station, Hilton Street",0,1,1,0,0,7,9,0
"Cobden ","Bowling Club Rooms, 84a Ward Street",2,3,0,0,0,1,6,0
,"Cobden School, 53 Fox Street",2,6,0,3,0,7,18,1
"Franz Josef","Franz Josef, Medical Centre, Community Room, 97 Cron Street",0,1,0,3,0,3,7,0
"Greymouth","Blaketown School, 90 Blake Street",3,0,0,0,0,7,10,0
,"Campbell Renton Building, 12 MacKay Street ",3,7,1,3,0,7,21,0
,"Grey United Tennis Club, Shakespeare Street",2,4,0,0,0,6,12,0
,"Greymouth Main School, Joyce Crescent",0,2,0,0,0,4,6,0
,"Karoro Learning Centre, 180 Tainui Street",3,5,0,0,0,10,18,0
,"Karoro School, Art & Technology Centre, Main South Road",0,3,1,0,1,2,7,0
"Hokitika","Church of Christ Hall, corner Sale & Stafford Streets",2,3,1,3,0,12,21,1
,"Hokitika I Site, 36 Weld Street",1,6,0,4,0,7,18,1
,"St Mary's Primary School Hall, 87 Sewell Street",1,2,1,3,0,4,11,0
,"Westland High School, 140 Hampden Street",2,12,1,7,0,26,48,1
"Kaniere  ","Kaniere School, 16 Camp Street",0,2,0,1,0,3,6,0
"Kumara","Memorial Hall, 56 Seddon Street",1,2,1,1,0,5,10,0
"Lower Moutere","Lower Moutere School Hall, 8 School Road",0,3,1,0,1,1,6,0
"Mapua ","Mapua School, 4 Stafford Drive",1,3,0,6,0,8,18,1
"Motueka","Masonic Centre, 8 Inglis Street",4,2,2,5,0,4,17,0
,"Motueka South School, 450 High Street",7,2,3,4,1,7,24,0
,"Motueka Tasman District Council, 7 Hickmott Place",4,4,2,7,0,16,33,1
,"Parklands School, MoTECH Building, 9-19 Pah Street",6,17,4,8,0,36,71,2
"Motupipi  ","Motupipi School, 435 Abel Tasman Drive",0,1,1,2,0,3,7,0
"Murchison ","Murchison Area School, 61 Waller Street",1,2,1,2,0,5,11,4
"Ngakawau ","Ngakawau Domain Hall, Main Road",0,2,0,1,0,11,14,0
"Reefton","Reefton Hospital, Broadway",0,1,0,0,0,8,9,0
"Riwaka","Riwaka School, 22 School Road",1,2,1,4,1,6,15,2
,"St Barnabas Church Hall, Main Road ",0,2,1,3,0,0,6,0
"Ross","Ross School, Moorhouse Street",1,1,0,2,0,3,7,2
"Runanga","Runanga School Hall, Duncan Street",1,0,0,0,0,9,10,2
"Takaka","Anglican Church Hall, Commercial Street",3,2,1,5,0,8,19,1
,"Golden Bay High School, 12 Waitapu Road",2,4,2,3,0,8,19,0
"Tapawera ","Tapawera Area School, 46 Main Road",2,0,0,5,0,3,10,0
"Tasman","Tasman School, 417 Aporo Road",1,4,1,0,0,1,7,0
"Upper Moutere","Upper Moutere School Hall, Main Road",1,2,0,3,0,3,9,0
"Wakefield","Wakefield School, Edward Street",1,10,1,6,1,7,26,0
"Westport","St Canice's School, 24a Brougham Street",0,3,1,0,0,10,14,0
,"Westport Courthouse, 11 Wakefield Street",2,5,0,1,0,18,26,0
,"Westport North School, 65 Cobden Street",0,3,1,1,0,6,11,1
,"Westport South School, Derby Street",0,5,1,1,0,7,14,0
,Wigram
"Addington","Addington School Hall, 22 Brougham Street (Simeon Street entrance)",3,3,1,2,0,15,24,0
,"Sacred Heart Parish Hall, 70 Spencer Street",2,3,1,6,0,9,21,0
"Avonhead","Russley School Hall, 75 Cutts Road",0,10,2,5,0,6,23,1
"Hei Hei","Gilberthorpe School Library, 163 Gilberthorpes Road",2,7,0,6,0,6,21,1
,"Kidsfirst Kindergarten, 10 Wycola Avenue",0,3,2,4,2,14,25,2
,"St Aidans Church Hall, corner Hei Hei & Buchanans Roads",2,11,1,6,0,17,37,0
"Hillmorton","Hillmorton High School Hall Foyer, Tankerville Road",1,3,1,1,0,11,17,0
"Hoon Hay","Hoon Hay Presbyterian Church Hall, 5 Downing Street",0,2,0,0,1,6,9,0
,"Hoon Hay School Hall, 91 Sparks Road",1,8,0,1,0,12,22,1
,"Rowley Avenue School Hall, 48 Rowley Avenue",2,9,0,5,0,30,46,2
"Hornby","Garage, 66 Blankney Street",0,5,0,1,0,6,12,0
,"Hornby Community Care Centre, 8 Goulding Avenue",3,9,2,7,0,15,36,1
,"Hornby Primary School Hall, 190 Waterloo Road",1,6,2,2,0,14,25,0
,"South Hornby School Hall, 52 Shands Road",3,5,1,3,0,14,26,0
,"St Columba's Church Hall, 452 Main South Road",4,3,2,0,0,8,17,1
"Middleton","Kidsfirst Kindergarten, 14 Torrens Road",0,4,0,0,0,4,8,0
"Riccarton","Riccarton Baptist Church Hall, 80 Rattray Street",2,2,2,3,0,2,11,0
,"Wharenui School Library, 32 Matipo Street",3,8,0,4,0,15,30,0
"Russley","St Stephen's Methodist Church, 378 Yaldhurst Road",0,1,0,1,0,3,5,1
"Sockburn","Montessori Riccarton Park Preschool, 108 Racecourse Road",0,2,0,0,0,7,9,1
,"Riccarton Primary School Hall, English Street",2,9,0,5,0,10,26,0
,"Sockburn School, 34 Springs Road",1,11,3,1,0,16,32,4
"Spreydon","Christchurch South Intermediate Hall, 204 Selwyn Street",2,2,1,6,0,14,25,0
,"Spreydon Baptist Church, 51 Cobham Street",1,0,0,8,0,10,19,1
,"St James Presbyterian Hall, corner Barrington & Bewdley Streets",3,1,3,3,0,5,15,1
,"St Martins Church, Neave Room, 50 Lincoln Road",2,2,0,4,0,10,18,2
,"St Nicholas Church Hall, 231 Barrington Street",0,5,0,0,0,6,11,0
,"West Spreydon School Hall, 147 Lyttelton Street",1,6,4,4,0,9,24,0
"Upper Riccarton","Middleton Grange School Performing Arts Foyer, 50 Acacia Avenue",1,6,1,0,1,1,10,0
,"Riccarton High School Hall, corner Curletts Road & Vicki Street",0,4,0,6,0,7,17,1
,"St Thomas of Canterbury College Hall, 69 Middlepark Road",0,3,1,2,0,5,11,0
"Wigram","Air Force Museum of NZ, inside main entrance, 45 Harvard Avenue",2,9,1,3,0,8,23,0
,"Voting places where less than 6 votes were taken",75,220,26,121,8,269,719,40
,"Ordinary Votes BEFORE polling day",551,1124,189,709,36,2097,4706,117
,"Special Votes BEFORE polling day",90,124,31,92,5,208,550,14
,"Special Votes On polling day",175,391,91,323,13,595,1588,35
,"Overseas Special Votes including Defence Force",40,46,6,47,3,90,232,5
,"Te Tai Tonga Total",1996,4891,1005,3173,165,8445,19675,545
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",20220
"Electorate Candidate Valid Votes","Party",,"TIRIKATENE, Rino - majority 3554"
"BEYER, Georgina",MANA Movement,1996,.1014485388
"BUTTON, Ngaire Lorraine",Māori Party,4891,.2485895807
"KINGI, Emma-Jane Mihaere",Aotearoa Legalise Cannabis Party,1005,.0510800508
"LANGSBURY, Dora Roimata",Green Party,3173,.161270648
"SAWYERS, Jason Paul",Democrats for Social Credit,165,.008386277
"TIRIKATENE, Rino",Labour Party,8445,.4292249047
