Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Hauauru 67","Candidate Vote Details"
,,"MASON, Errol Turuki","TURIA, Tariana","Total Valid Candidate Votes","Informal Candidate Votes"
"Maxwell","Maxwell and Districts Pre-School, 1655 Main South Road (State Highway 3)",0,6,6,0
"Mosston","Mosston School, 211 Mosston Road",4,12,16,1
"Nolantown","Tawhiti School Hall, Perth Street entrance",5,17,22,1
"Normanby","Normanby School Scout Hall, 3 Hunter Street",15,55,70,5
"Oaonui","Oaonui Hall, Main South Road (State Highway 45)",1,7,8,0
"Ohawe Beach","Progressive Hall, Ohawe Terrace",2,8,10,0
"Opunake","Opunake Primary School Hall, Longfellow Road",27,62,89,3
"Patea","Patea Area School Hall, Kent Street",15,45,60,5
,"Patea Kindergarten, 4 Derby Street",18,31,49,5
"Pihama","Pihama Hall, Main South Road (State Highway 45)",1,9,10,1
"Pungarehu","Pungarehu Hall, Main South Road (State Highway 45)",3,30,33,0
"Putiki","Te Kura Kaupapa Maori O Te Atihaunui A Paparangi",16,80,96,1
"Rahotu","Rahotu School, Main South Road (State Highway 45)",2,16,18,1
"Ramanui","Ramanui School, Manawapou Road entrance",15,72,87,0
"Upokongaro","Upokongaro School, State Highway 4",11,60,71,0
"Waitotara","Waitotara Primary School, Severn Street",3,21,24,0
"Wanganui","Aramoho School Hall, 2 Mitchell Street",37,82,119,1
,"Aranui Primary School Hall, 14 Aranui Avenue",11,18,29,6
,"Baden Powell Scout Hall, 13 Swiss Avenue",13,33,46,3
,"Baptist Church Hall, corner Moana & Nixon Streets",28,41,69,2
,"Carlton School Hall, 101 Carlton Avenue",24,48,72,4
,"Castlecliff School Hall, 25 Polson Street",46,101,147,5
,"Churton School Hall, Burmah Street",20,33,53,0
,"Cullinane College, 15 Peat Street",14,16,30,3
,"Durie Hill School Hall, 109 Portal Street",11,18,29,0
,"Faith City Church Lounge, 127 Springvale Road",5,25,30,0
,"Gonville School Hall, Gonville Avenue",40,64,104,3
,"St John's Hill School Hall, 71 Parkes Avenue",4,8,12,1
,"St Luke's Anglican Church Hall, 34 Manuka Street",11,29,40,1
,"Tawhero School Hall, 27 Totara Street",43,83,126,8
,"Te Kura O Kokohuia Hall, 36 Matipo Street",40,118,158,1
,"Wanganui East School Hall, Patapu Street",58,130,188,7
"Wanganui City","Keith Street School Hall, 38-46 Keith Street",49,81,130,7
,"St Andrew's Church Hall, corner Glasgow & Gloucester Streets",7,18,25,0
,"St Andrew's Hall, 9 Bell Street",6,23,29,0
,"Wanganui City College Hall, 84 Ingestre Street",22,56,78,2
"Warea","Warea Hall, Main South Road (State Highway 45)",4,7,11,0
"Waverley","Waverley Primary School Library, Gloag Street",12,49,61,2
