Electorate Candidate Votes Recorded at Each Voting Place
"Ikaroa-Rāwhiti 66","Candidate Vote Details"
,,"EDEN, Cathryn","FOX, Marama Kahu","KANI, Henare Matua","NIKORA, Shane Brisbane","ROSE, Victoria Maree","WHAITIRI, Meka","Total Valid Candidate Votes","Informal Candidate Votes"
,"Peterhead School Hall, 10 Peterhead Avenue",1,38,22,63,1,128,253,2
"Frimley","Frimley School, 202 Frimley Road",1,19,12,23,1,38,94,4
"Hastings City","District Courthouse, 106 Eastbourne Street West",2,15,12,4,0,34,67,3
,"St John Ambulance Hall, 107 Southland Road",0,14,5,9,1,27,56,1
,"Wesley Hall, 108 Hastings Street South",0,4,3,7,0,4,18,1
"Haumoana","Haumoana Public Hall, 50 Haumoana Road",0,10,10,6,0,25,51,1
"Havelock North","Havelock North Bridge Club, 53 Brookvale Road",0,3,0,2,0,4,9,0
,"Havelock North Function Centre, 30 Te Mata Road",0,5,2,9,1,13,30,1
,"Havelock North High School, 177 Te Mata Road",0,5,0,1,0,1,7,0
,"Havelock North Primary School, 9 Campbell Street",1,6,0,3,0,4,14,0
,"Lucknow School, 42 Elliott Crescent",1,10,7,20,0,33,71,0
"Mahora","Aubyn Theatre, 815 St Aubyn Street West",1,13,4,16,0,40,74,2
,"Mahora School Hall, 710 Frederick Street",0,35,25,26,0,78,164,2
"Mangateretere","Mangateretere School, 314 State Highway 2",3,18,8,20,0,47,96,0
"Maraekakaho","Maraekakaho School, 68 Kereru Road",0,0,1,0,0,5,6,0
"Mayfair","Karamu High School Hall, 1036 Windsor Avenue",0,15,7,27,1,29,79,1
,"Mayfair School, 1110 Willowpark Road North",2,23,20,41,3,97,186,7
"Omahu","Omahu School, 22 Taihape Road",1,19,8,26,0,30,84,5
"Otane","Otane School, Higginson Street",1,8,5,12,0,29,55,2
"Pakipaki","Pakipaki School, 316 Pakipaki Road",0,14,7,14,0,25,60,3
"Parkvale","Gordon Black Hall, 912 Queen Street East",1,1,0,4,0,5,11,0
,"Parkvale Kindergarten, 108 Park Road South",0,6,4,5,0,13,28,2
,"Parkvale School Hall, 1217 Howard Street",0,8,6,9,0,15,38,1
