Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Tokerau 67","Candidate Vote Details"
,,"DANIELS, Judy","HARAWIRA, Hone Pani Tamati Waka Nene","MANGU, Mere Maryann","MAXWELL, Hana Harriett","MORTON, Patrick Ernest","SAMUELS, Dover Spencer Peneha","Total Valid Candidate Votes","Informal Candidate Votes"
,"Birkenhead Baptist Church Hall, 25 Birkdale Road",2,22,0,0,5,11,40,0
,"Samoan Church Hall, 211 Birkdale Road",1,41,1,0,2,23,68,1
"Birkenhead","All Saint's Hall, 187 Hinemoa Street",0,11,1,1,0,6,19,0
,"Chelsea Primary School, Onetaunga Road",2,9,0,1,1,4,17,0
,"North Shore Church of Christ, 3 Willow Avenue",0,5,0,1,0,9,15,0
,"Zion Hill Methodist Church Hall, 237 Onewa Road (cnr Birkenhead Avenue)",0,24,4,2,1,16,47,0
"Glenfield","Glenfield College, 52 - 60 Kaipatiki Road",0,9,1,1,0,8,19,1
,"Glenfield Community Centre, Bentley Avenue (cnr Glenfield Road)",0,17,1,0,1,19,38,0
,"Glenfield Primary School, 101 Chivalry Road",0,19,0,1,0,10,30,1
,"Windy Ridge School, Seaview Road",0,11,1,0,0,6,18,0
"Marlborough","Marlborough Park Hall, 13A Chartwell Avenue",0,17,1,3,2,24,47,1
"Northcote","Northbridge Retirement Village Hall, 45 Akoranga Drive",1,5,0,0,0,2,8,0
,"Northcote Intermediate, 145 Lake Road",2,62,10,0,1,27,102,0
,"Northcote Primary School, 2 Lake Road (cnr Onewa Road)",1,15,0,1,0,9,26,1
,"Onewa Masonic Lodge, 14 Rodney Road",0,5,2,0,1,8,16,1
,"Sunnybrae Normal School, 36 Sunnybrae Road",0,16,2,0,2,10,30,1
,"Willow Park School, 13 Compton Street",0,12,2,0,1,11,26,1
,Northland
"Ahipara ","Ahipara School, Main Rd",5,146,3,0,4,42,200,2
"Awanui","Awanui School, Main Rd",4,111,4,1,11,32,163,2
"Awarua, Kaikohe","Te Hurihi Marae, Mangakahia Rd",1,14,4,0,1,10,30,1
"Baylys Beach","Presbyterian Church Hall, Seaview Rd",0,0,1,0,0,9,10,0
"Broadwood","Broadwood Area School, Main Rd",0,9,0,0,0,6,15,0
"Dargaville","Dargaville Primary School, Portland St",2,38,8,2,7,46,103,4
,"Selwyn Park School, Onslow St",5,75,7,1,2,4,94,5
,"St Andrew's Church Hall, Normanby St",2,37,11,1,3,49,103,2
"Fairburn","Fairburn Hall, Main Fairburn-Peria Rd",1,7,0,0,1,6,15,1
"Herekino","Herekino School, Kaitaia-Awaroa Rd",1,52,2,0,0,15,70,1
"Horeke","Horeke School, Horeke Rd",1,49,8,1,0,17,76,4
"Hukerenui","Hukerenui School, Crowsnest Rd",0,16,6,0,0,4,26,2
"Kaeo","Kaeo Primary School, SH 10",5,87,12,0,0,62,166,2
"Kaihu","Kaihu Memorial Hall, Wood Rd",0,31,12,0,4,18,65,2
"Kaikohe","Kaikohe East School, 36 Mangakahia Rd",15,210,50,1,13,122,411,10
,"Kaikohe Intermediate School, 11 Park Rd",5,181,33,1,5,93,318,7
,"Te Iringa Marae, Waimatenui Rd, Te Iringa",0,23,4,0,0,12,39,0
"Kaingaroa","Kaingaroa School, SH 10",0,3,1,0,0,7,11,1
"Kaitaia","Kaitaia College, Redan Rd",7,149,3,0,15,47,221,5
,"Kaitaia Intermediate School, 45 North Rd",11,390,8,3,52,113,577,4
"Kaiwaka","Kaiwaka School, Mangawhai Rd",4,20,5,0,3,32,64,1
"Kawakawa","Karetu School, Kura Road, ",1,24,3,0,1,10,39,0
,"Kawakawa School, 31-39 Albert St",4,111,43,0,7,69,234,3
"Kerikeri","Kerikeri Primary School, Hone Heke Rd",9,52,7,3,4,47,122,8
,"Riverview School, Riverview Rd",3,16,1,0,2,8,30,1
"Kohukohu","Kohukohu School: Beach Rd",2,43,6,0,0,13,64,1
"Mangamuka ","Mangamuka School, School Rd",0,33,6,1,3,12,55,1
"Mangawhai","Mangawhai Hall, Mangawhai Rd",3,9,1,0,1,13,27,2
"Mangonui","Mangonui School, Colonel Mould Drive",5,61,11,0,3,29,109,8
"Maromaku","Maromaku School, Maromaku School Rd",0,20,16,0,1,14,51,2
"Matauri Bay","Matauri Bay School, Wainui Rd ",6,35,4,0,2,39,86,0
"Matawaia","Kohanga Reo, Matawaia Rd",0,24,11,0,2,9,46,2
"Maungaturoto","Maungaturoto Community Centre, View St",2,20,7,0,2,27,58,0
"Moerewa","Te Kura Kaupapa Maori O Taumarere, 1 Station Rd",6,167,83,0,11,97,364,10
"Ngaiotonga","Ngaiotonga School, Rawhiti Rd",1,22,3,0,1,17,44,4
"Ngataki","Ngataki School, Ngataki, SH 1",1,37,2,0,0,16,56,2
"Oakura","Oakura Hall, Oakura Rd",2,27,5,1,0,35,70,2
"Ohaeawai","Ohaeawai School, Tennyson St",2,47,12,0,0,29,90,3
"Okaihau","Okaihau Primary School, Settlers Way",0,59,17,0,1,17,94,3
"Omapere","Opononi Area School, 263 SH12",2,71,12,1,2,41,129,4
"Opua","Opua School, Franklin St",0,4,4,0,0,6,14,0
"Opuawhanga","Opuawhanga Hall, North Rd",1,5,0,0,0,0,6,1
"Oromahoe ","Oromahoe School, School Rd",0,17,4,0,1,6,28,1
"Paihia","Paihia School, School Rd",3,59,22,2,2,51,139,5
"Pakaraka","Pakaraka School, SH10 ",0,9,2,0,5,9,25,3
"Pakotai","Pakotai School, Ruddell Rd/Mangakahia Rd",1,19,4,0,0,10,34,0
"Pamapuria","Pamapuria School, SH 10",0,50,2,0,4,17,73,0
"Panguru","Panguru Resource Centre, Panguru Rd",2,91,0,3,4,34,134,3
"Paparoa","Paparoa School, SH12",1,9,2,1,2,8,23,0
"Pawarenga","Te Kura O Hata Maria",0,45,0,0,0,7,52,0
"Peria","Peria School, 1430 Oruru Rd",1,32,3,0,1,5,42,1
"Pipiwai","Te Horo School, Pipiwai Rd",1,32,9,0,3,6,51,1
"Pouto","Rangitane Hall, Pouto Rd, ",0,16,1,0,0,8,25,1
"Pukenui","Pukenui School, Lambs Rd",1,25,1,1,1,17,46,4
"Pukepoto","Pukepoto School, Pukepoto- Awaroa Rd",1,39,2,0,4,19,65,1
"Rawene","Rawene School, Marmon St",1,63,3,0,1,37,105,1
"Rawhiti","Kohanga Reo, Te Rawhiti Marae, Rawhiti Rd",0,22,1,0,0,8,31,0
"Ruawai","Ruawai Primary School, Main Rd",5,10,2,3,3,28,51,1
"Russell","Russell School, Baker St",1,31,4,0,0,23,59,1
"Taheke","Taheke Community Centre, SH 12 ",2,91,5,1,0,24,123,0
"Taipa","Taipa Area School, SH 10",2,61,7,0,7,27,104,4
"Takahue","Takahue Community Hall",0,14,2,0,0,0,16,2
"Tangiteroria","Tangiteroria School, SH14 ",0,8,0,0,0,2,10,0
"Tangowahine","Tangowahine School, Tangawahine Valley Rd",0,2,0,0,2,1,5,1
"Taupo Bay","Taupo Bay Holiday Park, Taupo Bay Rd",0,4,0,0,1,3,8,0
"Tautoro","Tautoro School, Mangakahia Rd",4,25,10,0,1,11,51,3
"Te Hapua","Te Hapua School, Waharua Rd",1,41,2,1,1,10,56,0
"Te Kao","Te Kao Area School, Far North Rd",0,99,5,0,0,9,113,1
