Electorate Candidate and Party Votes Recorded at Each Polling Place
"Tamaki Makaurau 65","Candidate Vote Details"
,,"HEMAHEMA-TAMATI, Sophie Tauwehe","OPAI, Eugene Ashley","REREKURA, Tekaioroto Samuel","SHARPLES, Pita Russell","TAMIHERE, John Henry","Total Valid Candidate Votes","Informal Candidate Votes"
,Auckland Central
"Pakuranga","Anchorage Park School, Swan Crescent",2,0,0,22,11,35,0
,"Eastgate Christian Centre, 5 Ben Lomond Crescent",2,1,1,11,8,23,0
,"Edgewater College, 80 Edgewater Drive",0,0,0,21,21,42,0
,"Elm Park School, 46 Gossamer Drive",1,0,0,28,20,49,0
,"Farm Cove Intermediate, Butley Drive, Farm Cove",1,0,0,6,10,17,2
,"Pakuranga College, 480 Pakuranga Road",0,0,0,23,18,41,1
,"Pakuranga Heights School, Udys Road",3,0,0,13,13,29,0
,"Riverhills School, 13 Waikaremoana Place",4,0,0,24,29,57,1
,"Sunnyhills School, 17 The Crest",0,1,1,6,5,13,1
,"Youth Recreation Centre, William Roberts Road",6,0,2,18,13,39,0
,Tamaki
"Glen Innes","Glenbrae Primary School Hall, 105 Leybourne Circle",3,0,0,38,43,84,0
,"H I S International Mission, 77 Line Road or Omaru Lane",8,0,0,37,52,97,5
,"Primary School (library), 38-42 Eastview Road",1,1,1,28,28,59,2
,"Sacred Heart College Hall, 250 West Tamaki Road",1,0,0,12,10,23,2
,"Tamaki College Auditorium, cnr Elstree Ave & Taniwha St",2,0,0,63,57,122,1
"Glendowie","Churchill Park School Hall, 374 Riddell Road",0,0,1,1,4,6,0
,"Glen Taylor School Classroom, 172 West Tamaki Road",2,0,1,17,21,41,2
,"Primary School Hall, 217 Riddell Road",0,0,1,5,4,10,0
"Kohimarama","School Hall, 112 Kohimarama Road",1,0,2,8,5,16,1
,"St Thomas's School Hall, cnr Allum St & Kohimarama Rd",1,0,1,15,12,29,0
"Meadowbank","Free Kindergarten, 122 Meadowbank Road",0,0,0,10,12,22,1
,"Primary School Staffroom, 68 Waiatarua Road",0,0,0,3,5,8,0
,"St Chad's Church Hall, 5 Meadowbank Road",1,0,0,13,9,23,2
,"St John's College, Wesley Hall, 202-210 St John's Road",1,0,1,23,14,39,0
"Mission Bay","Patteson Guide Hall, 87 Patteson Avenue",0,0,1,8,8,17,0
"Orakei","Presbyterian Church Hall, 162 Coates Avenue",1,1,2,115,65,184,3
,"School Hall, 1 Grace Street",0,0,0,23,7,30,0
"Panmure","Bridge Primary School Hall, 76 Kings Road",0,0,2,30,35,67,3
,"Panmure Community Library, 7-13 Pilkington Road",11,0,4,47,53,115,3
,"Ruapotaka Primary School Foyer, 10A Taratoa Street",1,0,0,21,20,42,0
,"St Patrick's Church Hall, 19 Sunset View Road",0,0,0,10,11,21,0
,"Tamaki Community Church Hall, 4A Court Crescent",6,0,1,23,26,56,2
,"Tamaki Intermediate School Hall, 80A Tripoli Road",3,0,1,58,58,120,1
"Point England","Primary School Hall, 130 Point England Road",9,0,2,74,60,145,5
"Remuera","Baptist Church Hall, 641 Remuera Road",0,0,0,1,5,6,0
"St Heliers","Lawn Tennis Club, 3 Goldie Street",0,0,0,4,4,8,0
