Electorate Candidate Votes Recorded at Each Voting Place
"Te Tai Tokerau 69","Candidate Vote Details"
,,"DAVIS, Kelvin Glen","DEARLOVE, Clinton","HARAWIRA, Hone Pani Tamati Waka Nene","PAENGA, Te Hira Keretene Te Whakaiti","Total Valid Candidate Votes","Informal Candidate Votes"
,"Kaitaia Intermediate School, 45 North Road",191,5,130,9,335,6
"Kaiwaka","Kaiwaka School, 33 Mangawhai Road",24,0,13,7,44,2
"Karetu","Karetu School, Kura Road",30,0,3,0,33,0
"Kawakawa","Kawakawa Primary School, 31-39 Albert Street",136,1,63,7,207,3
"Kerikeri","Kerikeri Primary School, Hone Heke Road",59,2,35,9,105,4
,"Kingston House, 123 Hone Heke Road",29,0,26,6,61,2
,"Riverview School, Riverview Road",26,1,11,3,41,0
"Kohukohu","Kohukohu Primary School, Beach Road",25,0,20,3,48,2
"Mangamuka","Mangamuka School, 37 School Road",20,1,28,2,51,1
"Mangawhai","Mangawhai Beach School, 34 Insley Street",16,1,8,0,25,1
"Mangawhai Heads","Mangawhai Community Centre, Fagan Place",9,0,2,0,11,0
"Mangonui","Mangonui School, 19 Colonel Mould Drive",49,0,33,6,88,3
"Maromaku","Maromaku School, Maromaku School Road",24,0,8,0,32,1
"Matauri Bay","Matauri Bay School, Wainui Road",36,0,42,6,84,1
"Matawaia","Matawaia Kohanga Reo, Matawaia Road",23,0,14,2,39,1
"Maungaturoto","Maungaturoto School, 8 Gorge Road",26,0,9,1,36,1
"Moerewa","Moerewa School, Otiria Road",161,0,98,8,267,6
"Ngataki","Ngataki School, Far North Road",13,0,15,4,32,0
"Oakura","Oakura Hall, Oakura Road",15,2,28,1,46,0
"Ohaeawai","Ohaeawai School, Tennyson Street",42,0,28,6,76,3
"Okaihau","Okaihau Primary School, Settlers Way",28,0,50,4,82,1
"Omapere","Opononi Area School, 263 State Highway 12",32,6,54,5,97,2
"Opua","Opua School, Franklin Street",12,0,5,0,17,0
"Opuawhanga","Opuawhanga Hall, North Road",5,2,3,0,10,2
"Oromahoe","Oromahoe School, Te Aute Road",12,0,14,2,28,0
"Paihia","Paihia School, School Road",65,6,43,12,126,4
"Pakaraka","Pakaraka School, State Highway 10",14,0,12,0,26,1
"Pakotai","Pakotai School, Ruddell Road (off Mangakahia Road)",13,2,10,5,30,1
"Pamapuria","Pamapuria School, 6970 State Highway 1",16,0,20,1,37,0
"Panguru","Panguru,Te Kura Taumata O Panguru, 2178 West Coast Road",68,1,54,1,124,3
"Paparoa","Paparoa School, Franklin Road",9,4,3,4,20,1
"Pawarenga","Te Kura o Hata Maria, Te Riha Road",15,0,18,4,37,1
"Peria","Peria School, 1430 Oruru Road",10,0,15,0,25,1
"Pipiwai","Te Horo School, 3239 Pipiwai Road",15,0,21,1,37,0
"Port Albert","Port Albert Hall, 980 Port Albert Road",4,0,0,3,7,0
"Pouto","Rangitane Community Centre, Pouto Road",9,0,6,1,16,1
"Pukenui","Pukenui School, Lamb Road",34,0,17,5,56,0
"Pukepoto","Pukepoto School, 818 Awaroa Road",33,0,18,3,54,1
"Punaruku","Whangaruru School, 2916 Old Russell Road",6,0,10,2,18,1
"Rawene","Rawene School, Marmon Street",44,1,57,7,109,3
