Electorate Candidate and Party Votes Recorded at Each Polling Place
"Ikaroa-Rawhiti 63","Candidate Vote Details"
,,"HOROMIA, Parekura Tureia","POANANGA, Atareta Nicole","TE KANI, Tauha ","Total Valid Candidate Votes","Informal Candidate Votes"
,"Tararua District Council Chambers, 136 Main Street",33,12,0,45,5
"Pirinoa","Pirinoa School, Pirinoa Road",7,8,0,15,0
"Pongaroa","Pongaroa School, Makomako Street",9,5,1,15,0
"Porangahau","Porangahau School, Keppel Street",12,41,2,55,3
"Tinui","Tinui School, Charles Street",3,5,0,8,2
"Woodville","Woodville School, Vogel Street",38,22,3,63,4
,Wellington Central
"City","Wellington Town Hall, 111 Wakefield Street",4,2,0,6,0
,"Polling places where less than 6 votes were taken",67,43,4,114,6
,"Hospital Votes",80,63,3,146,4
,"Ordinary Votes BEFORE polling day",369,279,55,703,20
,"Special Votes BEFORE polling day",92,101,6,199,7
,"Special Votes On polling day",701,632,52,1385,40
,"Overseas Special Votes including defence force",18,22,0,40,0
,"Ikaroa-Rawhiti Total",9502,7570,614,17686,472
,,,,"Valid Candidate Votes plus Informal Candidate Votes",18158
"Electorate Candidate Valid Votes","Party",,"HOROMIA, Parekura Tureia - majority 1932"
"HOROMIA, Parekura Tureia",Labour Party,9502,.5372611105
"POANANGA, Atareta Nicole",Mâori Party,7570,.4280221644
"TE KANI, Tauha ",Destiny New Zealand,614,.0347167251
