Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Hauāuru 67","Candidate Vote Details"
,,"McDONALD, Jack Tautokai Baxter","PEKE-MASON, Soraya Waiata","TIMUTIMU, Frederick","TURIA, Tariana","WAITAI-RAPANA, Jennifer","WILSON, Robert Piriniha","Total Valid Candidate Votes","Informal Candidate Votes"
,Mana
,"David Henry School, 4-8 Thompson Street",9,33,10,15,0,1,68,4
,"St John Ambulance Hall,  62 Logan Street",11,41,23,55,1,3,134,11
,"St Luke's Pacific Island Presbyterian Church Hall, corner Maraetai Road & Kelso Street",5,31,13,29,0,0,78,8
,"Strathmore School, 27 Strathmore Drive",2,34,4,23,1,0,64,5
,"Tainui Full Primary School, 63- 69 Tainui Street",9,30,8,34,1,0,82,6
,"Tokoroa Central School, 3 Clyde Street",4,28,17,25,2,0,76,6
,"Tokoroa North School, 29 Paraonui Road",0,30,4,21,0,0,55,7
"Whakamaru","Whakamaru School, 36 Kaahu Road",0,2,0,8,0,0,10,0
,Whanganui
"Aramoho","Aramoho School, 2 Mitchell Street",15,30,9,50,5,1,110,1
,"Churton School, Burmah Street",6,12,5,18,6,0,47,2
,"Cullinane College, 15 Peat Street",11,18,1,28,2,0,60,2
"Brunswick","Brunswick School, Campbell Road",0,4,0,3,1,0,8,0
"Castlecliff","Aranui School, 14 Aranui Avenue",2,8,4,14,3,0,31,1
,"Castlecliff School, 25 Polson Street",17,46,6,63,3,1,136,6
,"St Luke's Church Hall, 34 Manuka Street",4,20,1,24,1,0,50,1
,"Te Kura O Kokohuia, 36 Matipo Street",6,19,6,64,3,0,98,6
"Eltham","Eltham School, 69 Conway Road",5,10,7,11,1,1,35,2
,"St Mark's Parish Hall, 235 High Street",2,7,0,11,0,0,20,1
"Fordell","Fordell School, Budge Street",1,0,0,5,0,0,6,0
"Gonville","Baden Powell Scout Hall, 13 Swiss Avenue",16,30,5,38,2,0,91,7
,"St Peters Parish Hall, 72 Koromiko Road",4,9,3,31,0,2,49,1
"Hawera","Hawera High School, 13 Camberwell Road",3,4,4,24,1,2,38,0
,"Hawera Primary School, Manawapou Road entrance",6,10,1,20,2,0,39,4
,"Highland Pipe Band Hall, Collins Street",3,6,5,24,0,1,39,2
,"Presbyterian Centre, 35 Argyle Street",7,13,0,21,1,2,44,4
,"Public Hospital, 37 Hunter Street",2,3,1,6,0,0,12,0
,"Ramanui School, 85 Fairfield Road",9,28,5,38,0,1,81,2
,"Tawhiti School, Perth Street ",4,13,0,21,0,0,38,3
,"Turuturu School, 194 Glover Road",3,6,0,9,1,1,20,2
"Kakaramea","Kakaramea School, 2193 Main South Road ",0,1,2,5,0,0,8,1
"Kakatahi","Kakatahi School, 4315 Parapara Road (State Highway 4)",5,0,1,1,2,0,9,0
"Kaponga","Kaponga School, 30 Egmont Street",1,6,0,9,0,0,16,0
"Manaia","Manaia School, Patukukupa Street ",10,21,9,35,0,0,75,2
"Maxwell","Maxwell Pre-School,1655 Main South Road (State Highway 3)",0,4,1,1,0,0,6,0
"Mosston","Mosston School, 211 Mosston Road",4,5,0,5,0,0,14,0
"Normanby","Normanby School, 3 Hunter Street",7,7,13,30,1,0,58,3
"Opunake","Opunake Primary School, Longfellow Road",11,22,1,39,1,1,75,0
"Patea","Patea Old Folks Hall, 137 Egmont Street",18,27,10,46,0,1,102,6
"Pihama","Pihama Hall, Main South Road (State Highway 45)",1,1,0,3,0,1,6,0
"Pungarehu","Pungarehu Hall, Main South Road ",4,3,4,18,0,0,29,2
"Putiki","Te Kura Kaupapa Māori O Te Atihaunui A Paparangi, 25 Anaua Street",6,3,2,60,0,0,71,1
"Rahotu","Rahotu School, Main South Road (Surf Highway 45)",4,10,1,20,0,0,35,1
"Springvale","Faith City Church, 127 Springvale Road",6,6,1,18,1,0,32,1
,"Springvale Stadium, Springvale Park",3,12,2,33,1,0,51,2
"Tawhero","Tawhero School, 27 Totara Street",17,32,10,61,3,1,124,1
"Upokongaro","Upokongaro School, State Highway 4",5,8,2,49,0,0,64,3
"Waitotara","Waitotara School, Severn Street",2,5,1,20,0,0,28,1
"Warea","Warea Hall, Main South Road ",0,2,2,2,0,0,6,0
"Waverley","Waverley Primary School, Gloag Street",2,9,3,23,0,0,37,4
"Westmere","Westmere School, corner Francis & Rapanui Roads",2,3,0,7,0,0,12,1
"Whanganui","Carlton School, 99 Carlton Avenue",9,15,5,49,3,0,81,4
,"City College, 84 Ingestre Street",13,16,4,42,1,1,77,5
,"Durie Hill School, 109 Portal Street",4,8,2,22,0,0,36,0
,"Keith Street School, 38-46 Keith Street",12,33,10,44,3,0,102,8
,"St Andrew's Pipe Band Hall, 9 Bell Street",3,4,0,12,0,0,19,0
,"St Andrew's Presbyterian Church, 42 Glasgow Street",4,20,5,24,0,0,53,0
,"St John's Hill School, 71 Parkes Avenue",3,4,0,3,0,0,10,1
"Whanganui East","Baptist Church Hall, Moana Street",4,15,2,28,1,0,50,2
,"St Anne's School, Raine Street",1,4,1,4,0,0,10,0
,"Wanganui East School, Patapu Street",20,51,9,93,1,1,175,2
"Whenuakura","Whenuakura School, Kaharoa Road",2,2,2,3,0,0,9,0
,"Polling places where less than 6 votes were taken",20,43,11,98,1,3,176,13
,"Ordinary Votes BEFORE polling day - Taken in Mana",16,75,19,89,4,1,204,16
,"Ordinary Votes BEFORE polling day - Taken in New Plymouth",32,58,12,91,3,1,197,7
,"Ordinary Votes BEFORE polling day - Taken in Ōhariu",1,9,3,15,0,1,29,2
,"Ordinary Votes BEFORE polling day - Taken in Ōtaki",41,132,37,185,1,2,398,13
,"Ordinary Votes BEFORE polling day - Taken in Palmerston North",20,32,9,52,2,1,116,5
,"Ordinary Votes BEFORE polling day - Taken in Rangitīkei",27,69,25,162,0,4,287,10
,"Ordinary Votes BEFORE polling day - Taken in Taranaki-King Country",28,66,23,90,2,1,210,11
,"Ordinary Votes BEFORE polling day - Taken in Taupō",19,67,21,72,0,1,180,8
,"Ordinary Votes BEFORE polling day - Taken in Whanganui",41,96,25,168,9,4,343,13
,"Special Votes BEFORE polling day",40,91,35,151,2,3,322,6
,"Special Votes On polling day",196,347,156,659,11,12,1381,48
,"Overseas Special Votes including Defence Force",14,15,7,46,2,1,85,0
,"Te Tai Hauāuru Total",2007,5212,1513,8433,178,118,17461,754
,,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",18215
"Electorate Candidate Valid Votes","Party",,"TURIA, Tariana - majority 3221"
"McDONALD, Jack Tautokai Baxter",Green Party,2007,.1149418705
"PEKE-MASON, Soraya Waiata",Labour Party,5212,.2984937862
"TIMUTIMU, Frederick",Mana,1513,.0866502491
"TURIA, Tariana",Māori Party,8433,.4829620297
"WAITAI-RAPANA, Jennifer",Nga Iwi,178,.010194147
"WILSON, Robert Piriniha",New Zealand Sovereignty Party,118,.0067579176
